alphanumiso;material_id;year;factor;source
ETH231;Me.Ag;2019;7427.855084260696;global average based on S&P Global / FINEPRINT mining data and price-based allocation of ore
ETH231;Me.Ag;2020;7434.646330931024;global average based on S&P Global / FINEPRINT mining data and price-based allocation of ore
FIN246;Me.Ag;2016;3768.8988561020037;based on S&P Global mining data and price-based allocation of ore
FIN246;Me.Ag;2017;3779.1131774584182;based on S&P Global mining data and price-based allocation of ore
FIN246;Me.Ag;2018;3789.602323604691;based on S&P Global mining data and price-based allocation of ore
FIN246;Me.Ag;2019;3798.1676962219526;based on S&P Global mining data and price-based allocation of ore
FIN246;Me.Ag;2020;3802.6106969913344;based on S&P Global mining data and price-based allocation of ore
FJI242;Me.Ag;2016;7383.116871659255;global average based on S&P Global / FINEPRINT mining data and price-based allocation of ore
FJI242;Me.Ag;2017;7398.729737715783;global average based on S&P Global / FINEPRINT mining data and price-based allocation of ore
FJI242;Me.Ag;2018;7414.7626808859395;global average based on S&P Global / FINEPRINT mining data and price-based allocation of ore
FJI242;Me.Ag;2019;7427.855084260696;global average based on S&P Global / FINEPRINT mining data and price-based allocation of ore
FJI242;Me.Ag;2020;7434.646330931024;global average based on S&P Global / FINEPRINT mining data and price-based allocation of ore
GBR826;Me.Ag;2016;8368.254334545883;based on S&P Global mining data and price-based allocation of ore
GBR826;Me.Ag;2017;8475.373934216594;based on S&P Global mining data and price-based allocation of ore
GBR826;Me.Ag;2018;8585.375675582478;based on S&P Global mining data and price-based allocation of ore
GBR826;Me.Ag;2019;8675.20242508213;based on S&P Global mining data and price-based allocation of ore
GBR826;Me.Ag;2020;8721.797049154144;based on S&P Global mining data and price-based allocation of ore
GEO268;Me.Ag;2016;17827.531077073116;based on S&P Global mining data and price-based allocation of ore
GEO268;Me.Ag;2017;17868.60179836091;based on S&P Global mining data and price-based allocation of ore
GEO268;Me.Ag;2018;17910.77756147707;based on S&P Global mining data and price-based allocation of ore
GEO268;Me.Ag;2019;17945.218031794633;based on S&P Global mining data and price-based allocation of ore
GEO268;Me.Ag;2020;17963.082874686632;based on S&P Global mining data and price-based allocation of ore
GHA288;Me.Ag;2016;8845.386499269582;based on S&P Global mining data and price-based allocation of ore
GHA288;Me.Ag;2017;8841.70904001936;based on S&P Global mining data and price-based allocation of ore
GHA288;Me.Ag;2018;8837.932635677204;based on S&P Global mining data and price-based allocation of ore
GHA288;Me.Ag;2019;8834.848846978586;based on S&P Global mining data and price-based allocation of ore
GHA288;Me.Ag;2020;8833.249234658982;based on S&P Global mining data and price-based allocation of ore
GRC300;Me.Ag;2016;3094.9738258911793;based on S&P Global mining data and price-based allocation of ore
GRC300;Me.Ag;2017;3133.3188371569922;based on S&P Global mining data and price-based allocation of ore
GRC300;Me.Ag;2018;3172.695552761795;based on S&P Global mining data and price-based allocation of ore
GRC300;Me.Ag;2019;3204.850337993665;based on S&P Global mining data and price-based allocation of ore
GRC300;Me.Ag;2020;3221.5295581406776;based on S&P Global mining data and price-based allocation of ore
GTM320;Me.Ag;2016;2631.2298220978123;based on S&P Global mining data and price-based allocation of ore
GTM320;Me.Ag;2017;2630.746048013853;based on S&P Global mining data and price-based allocation of ore
GTM320;Me.Ag;2018;2630.249257586827;based on S&P Global mining data and price-based allocation of ore
GTM320;Me.Ag;2019;2629.8435815612643;based on S&P Global mining data and price-based allocation of ore
GTM320;Me.Ag;2020;2629.6331506816946;based on S&P Global mining data and price-based allocation of ore
HND340;Me.Ag;2016;6418.4867925896215;based on S&P Global mining data and price-based allocation of ore
HND340;Me.Ag;2017;6330.454108285458;based on S&P Global mining data and price-based allocation of ore
HND340;Me.Ag;2018;6240.0528315784895;based on S&P Global mining data and price-based allocation of ore
HND340;Me.Ag;2019;6166.231701691141;based on S&P Global mining data and price-based allocation of ore
HND340;Me.Ag;2020;6127.9394578458305;based on S&P Global mining data and price-based allocation of ore
IDN360;Me.Ag;2016;6556.142066013357;based on S&P Global mining data and price-based allocation of ore
IDN360;Me.Ag;2017;6582.549418868714;based on S&P Global mining data and price-based allocation of ore
IDN360;Me.Ag;2018;6609.66728346009;based on S&P Global mining data and price-based allocation of ore
IDN360;Me.Ag;2019;6631.811565899336;based on S&P Global mining data and price-based allocation of ore
IDN360;Me.Ag;2020;6643.298172298301;based on S&P Global mining data and price-based allocation of ore
IND356;Me.Ag;2016;7383.116871659255;global average based on S&P Global / FINEPRINT mining data and price-based allocation of ore
IND356;Me.Ag;2017;7398.729737715783;global average based on S&P Global / FINEPRINT mining data and price-based allocation of ore
IND356;Me.Ag;2018;7414.7626808859395;global average based on S&P Global / FINEPRINT mining data and price-based allocation of ore
IND356;Me.Ag;2019;7427.855084260696;global average based on S&P Global / FINEPRINT mining data and price-based allocation of ore
IND356;Me.Ag;2020;7434.646330931024;global average based on S&P Global / FINEPRINT mining data and price-based allocation of ore
IRL372;Me.Ag;2016;2434.2904333609836;based on S&P Global mining data and price-based allocation of ore
IRL372;Me.Ag;2017;2444.9188478292313;based on S&P Global mining data and price-based allocation of ore
IRL372;Me.Ag;2018;2455.8332286060418;based on S&P Global mining data and price-based allocation of ore
IRL372;Me.Ag;2019;2464.745845222913;based on S&P Global mining data and price-based allocation of ore
IRL372;Me.Ag;2020;2469.3689672113433;based on S&P Global mining data and price-based allocation of ore
IRN364;Me.Ag;2016;9124.067164577535;based on S&P Global mining data and price-based allocation of ore
IRN364;Me.Ag;2017;9171.379428608112;based on S&P Global mining data and price-based allocation of ore
IRN364;Me.Ag;2018;9219.964668352517;based on S&P Global mining data and price-based allocation of ore
IRN364;Me.Ag;2019;9259.63907810013;based on S&P Global mining data and price-based allocation of ore
IRN364;Me.Ag;2020;9280.218852140335;based on S&P Global mining data and price-based allocation of ore
JPN392;Me.Ag;2016;7383.116871659255;global average based on S&P Global / FINEPRINT mining data and price-based allocation of ore
JPN392;Me.Ag;2017;7398.729737715783;global average based on S&P Global / FINEPRINT mining data and price-based allocation of ore
JPN392;Me.Ag;2018;7414.7626808859395;global average based on S&P Global / FINEPRINT mining data and price-based allocation of ore
JPN392;Me.Ag;2019;7427.855084260696;global average based on S&P Global / FINEPRINT mining data and price-based allocation of ore
JPN392;Me.Ag;2020;7434.646330931024;global average based on S&P Global / FINEPRINT mining data and price-based allocation of ore
KAZ398;Me.Ag;2016;5333.143976761768;based on S&P Global mining data and price-based allocation of ore
KAZ398;Me.Ag;2017;5382.338129543656;based on S&P Global mining data and price-based allocation of ore
KAZ398;Me.Ag;2018;5432.855891817435;based on S&P Global mining data and price-based allocation of ore
KAZ398;Me.Ag;2019;5474.108387647987;based on S&P Global mining data and price-based allocation of ore
KAZ398;Me.Ag;2020;5495.506741100198;based on S&P Global mining data and price-based allocation of ore
KGZ417;Me.Ag;2016;6246.587032883109;based on S&P Global mining data and price-based allocation of ore
KGZ417;Me.Ag;2017;6245.0566100614615;based on S&P Global mining data and price-based allocation of ore
KGZ417;Me.Ag;2018;6243.485009944165;based on S&P Global mining data and price-based allocation of ore
KGZ417;Me.Ag;2019;6242.201650896416;based on S&P Global mining data and price-based allocation of ore
KGZ417;Me.Ag;2020;6241.535951283411;based on S&P Global mining data and price-based allocation of ore
KOR410;Me.Ag;2016;7383.116871659255;global average based on S&P Global / FINEPRINT mining data and price-based allocation of ore
KOR410;Me.Ag;2017;7398.729737715783;global average based on S&P Global / FINEPRINT mining data and price-based allocation of ore
KOR410;Me.Ag;2018;7414.7626808859395;global average based on S&P Global / FINEPRINT mining data and price-based allocation of ore
KOR410;Me.Ag;2019;7427.855084260696;global average based on S&P Global / FINEPRINT mining data and price-based allocation of ore
KOR410;Me.Ag;2020;7434.646330931024;global average based on S&P Global / FINEPRINT mining data and price-based allocation of ore
LAO418;Me.Ag;2016;10421.010441552206;based on S&P Global mining data and price-based allocation of ore
LAO418;Me.Ag;2017;10534.58784775884;based on S&P Global mining data and price-based allocation of ore
