source;source_material_id;material_id
USGS_ext;Pozzolan;M.abr
USGS_ext;Construction sand;M.sag
USGS_ext;Aggregates, Crushed stone and gravel;M.sag
USGS_ext;Crushed sand;M.sag
USGS_ext;Sand;M.sag
USGS_ext;Gravel;M.sag
USGS_ext;Stone, crushed;M.crs
USGS_ext;Pyrite;O.FeS
USGS_ext;Celestite;O.Sr
USGS_ext;Sillica sand (quartzsand);M.SiO2
USGS_ext;Marble Blocks;M.dim
USGS_ext;Marble crushed;M.mat
USGS_ext;Limestone;M.lim
USGS_ext;Slabs;M.sto
USGS_ext;Miscellaneous types of dressed stone;M.sto
USGS_ext;Quartzite;M.qar
USGS_ext;Tuff;M.ign
USGS_ext;Granite;M.ign
USGS_ext;Granite block;M.dim
USGS_ext;Limestone, for cement manufacturing;M.lim
USGS_ext;Limestone, for the construction industry;M.lim
USGS_ext;Marble blocks;M.dim
USGS_ext;Quartz;M.qar
USGS_ext;Sand for the construction industry;M.sag
USGS_ext;Silica sand;M.SiO2
USGS_ext;Bauxite (Aluminium);O.Al
USGS_ext;Boron materials;M.bor
USGS_ext;Foundry earth;M.ins
USGS_ext;Pumice;M.abr
USGS_ext;Pumice and related volcanic materials;M.abr
USGS_ext;Amethyst;Nm.gem
USGS_ext;Other Gemstones;Nm.gem
USGS_ext;Rhodochrosite;Nm.gem
USGS_ext;Basalt;M.ign
USGS_ext;Calcium carbonate, chalk;M.cha
USGS_ext;Dolomite, including crushed;M.dol
USGS_ext;Marble, onyx, travertine;M.mat
USGS_ext;Aragonite, broken;Me.CaCO3
USGS_ext;Onyx, in blocks and broken;M.osm
USGS_ext;Travertine, in blocks and broken;M.mat
USGS_ext;Marble, unspecified in blocks and broken;M.mat
USGS_ext;Flagstone;M.sas
USGS_ext;Granite, in blocks;M.dim
USGS_ext;Granite, crushed;M.ign
USGS_ext;Granite, other forms;M.ign
USGS_ext;Quartz, crushed;M.qar
USGS_ext;Quartzite, crushed;M.qar
USGS_ext;Serpentine, crushed;M.orn
USGS_ext;Marble rubble, crushed;M.mat
USGS_ext;Tuff (toba) (tasca);M.ign
USGS_ext;Zerolite;M.osm
USGS_ext;Ferromolybdenum;All.FeMo
USGS_ext;Ferrotungsten;All.FeW
USGS_ext;Diamond, cut;Nm.dia
USGS_ext;Beach pebble;M.sag
USGS_ext;Brick clay and shale;M.coc
USGS_ext;Clay, others;M.coc
USGS_ext;Damourite clay;M.osm
USGS_ext;Opal;Nm.gem
USGS_ext;Saphire;Nm.gem
USGS_ext;Kyanite;M.fic
USGS_ext;Sillimanite;M.fic
USGS_ext;Sand, construction;M.sag
USGS_ext;Stone, dimension;M.dim
USGS_ext;Limestone, for cement;M.lim
USGS_ext;Limestone, for other uses;M.lim
USGS_ext;Silica in the form of quartz, quartzite, glass sand;M.qar
USGS_ext;Barite;M.bar
USGS_ext;Diabase (of basaltic rocks);M.ign
USGS_ext;Mica;M.mic
USGS_ext;Pumice (trass);M.abr
USGS_ext;Dolomite, loose rocks and gravel;M.dol
USGS_ext;Amphibolite;M.dim
USGS_ext;Basalt (not included in diabase);M.ign
USGS_ext;Gneiss;M.sto
USGS_ext;Granite and granulite;M.ign
USGS_ext;Limestone, including marble;M.lim
USGS_ext;Marl;M.mas
USGS_ext;Quartz, quartzite and pegmatite;M.qar
USGS_ext;Serpentine;M.orn
USGS_ext;Other Stone, including conglomerate and sandstone (limestone and marble);M.sto
USGS_ext;Boulder;M.sto
USGS_ext;Alabaster;M.sto
USGS_ext;Marble, in Blocks;M.dim
USGS_ext;Marble, crushed and other;M.mat
USGS_ext;Belgian bluestone, quarried;M.sto
USGS_ext;Belgian bluestone, sawed;M.sto
USGS_ext;Belgian bluestone, worked;M.sto
USGS_ext;Belgian bluestone, crushed and other;M.sto
USGS_ext;Porphyry, all types;M.ign
USGS_ext;Quartz and quartzite;M.qar
USGS_ext;Sandstone, rough stone including cushed;M.sas
USGS_ext;Sandstone, paving;M.sas
USGS_ext;Sandstone, other;M.sas
USGS_ext;Slate;M.sla
USGS_ext;Sand, foundry;M.ins
USGS_ext;Sand, dredged;M.sag
USGS_ext;Glass sand;M.SiO2
USGS_ext;Sand, other;M.sag
USGS_ext;Gravel, dredged;M.sag
USGS_ext;Clays, unspecified;M.coc
USGS_ext;Quartz sand (silica);M.SiO2
USGS_ext;Sand, including lime sand, river sand, silt and mud;M.sag
USGS_ext;Stone, Limestone including marl;M.lim
USGS_ext;Stone;M.sto
USGS_ext;Clay;M.coc
USGS_ext;Ferrosilicon;All.FeSi
USGS_ext;Shale, green and pink;M.spc
USGS_ext;Ametrine (bolivianite);M.qar
USGS_ext;Quartz, pink;M.qar
USGS_ext;Emerald;Nm.gem
USGS_ext;Flint;M.chf
USGS_ext;Onyx;Nm.gem
USGS_ext;Slate (pizarra);M.sla
USGS_ext;Ulexite;M.bor
USGS_ext;Sodalite;Nm.gem
USGS_ext;Limestone (Calcite);M.cal
USGS_ext;Sandstone;M.sas
USGS_ext;Ceramic clay;M.fic
USGS_ext;Marble and travertine;M.mat
USGS_ext;Ecaussine and other calcareous stone;M.lim
USGS_ext;Stone, ornamental;M.orn
USGS_ext;Stone, crushed and brown;M.crs
USGS_ext;Stone, other;M.sto
USGS_ext;Common clay, clay for bricks etc.;M.coc
USGS_ext;Agate;Nm.gem
USGS_ext;Aquamarine;Nm.gem
USGS_ext;Cat's-eye;Nm.gem
USGS_ext;Citrine;Nm.gem
USGS_ext;Ruby;Nm.gem
USGS_ext;Sapphire;Nm.gem
USGS_ext;Topaz;Nm.gem
USGS_ext;Tourmaline;Nm.gem
USGS_ext;Turquoise;Nm.gem
USGS_ext;Gemstones, others;Nm.gem
USGS_ext;Quartz crystal, all grades;M.qar
USGS_ext;Rare Earths Minerals;O.rem
USGS_ext;Basalt, crushed and broken stone;M.ign
USGS_ext;Calcareous shells, crushed and broken;M.mas
USGS_ext;Dolomite, crushed and broken stone;M.dol
USGS_ext;Gneiss, crushed and broken stone;M.crs
USGS_ext;Granite, crushed and broken stone;M.ign
USGS_ext;Limestone, crushed and broken stone;M.lim
USGS_ext;Quartz, crushed and broken stone;M.qar
USGS_ext;Quartzite, crude, crushed and broken stone;M.qar
USGS_ext;Shale;M.spc
USGS_ext;Sand, industrial;M.ins
USGS_ext;Laterite, blocks;M.dim
USGS_ext;Diamond;Nm.dia
USGS_ext;Clinker;M.sto
USGS_ext;Stone, unspecific;M.sto
USGS_ext;Phosphorite;O.P
USGS_ext;Guano;O.P
USGS_ext;Pyrophyllite;M.tal
USGS_ext;Lapis lazuli;Nm.gem
USGS_ext;Travertine;M.mat
USGS_ext;Morralla;
USGS_ext;Clay, unspecified;M.coc
USGS_ext;Marble shell;M.mat
USGS_ext;Fire, refactory and flint clay, Andalusite, kyanite and sillimanite (all Al-containing);M.fic
USGS_ext;Stone, Dimension;M.dim
USGS_ext;Stone, Ornamental;M.orn
USGS_ext;Stones;M.sto
USGS_ext;Volcanic ash;M.abr
USGS_ext;Clay for Cement;M.coc
USGS_ext;Havara;M.sag
USGS_ext;Stone, building;M.dim
USGS_ext;Umber;M.och
USGS_ext;Moldavite-bearing rock;M.osm
USGS_ext;Pyrope-bearing rock;O.gem
USGS_ext;Basalt for castin;M.ign
USGS_ext;Building stone;M.dim
USGS_ext;Quarry stone;M.crs
USGS_ext;Limestone, agricultural;M.lim
USGS_ext;Limestone, industrial;M.lim
USGS_ext;Crushed stone;M.crs
USGS_ext;Ferruginous;
USGS_ext;Granite, broken;M.ign
USGS_ext;Granite, Dimension;M.dim
USGS_ext;Marble, blocks;M.dim
USGS_ext;Marble, broken and gravel;M.mat
USGS_ext;Coral;Me.CaCO3
USGS_ext;Marble, block;M.dim
USGS_ext;Rare Earths Minerals compounds;O.rem
USGS_ext;Morganite;Nm.gem
USGS_ext;Peridot;Nm.gem
USGS_ext;Basalt, construction stone;M.ign
USGS_ext;Basalt, others;M.ign
USGS_ext;Ignimbrite;M.ign
USGS_ext;Limestone, slab and tiles;M.lim
USGS_ext;Marble, slab and tiles;M.mat
USGS_ext;Marble, Terrazzo;M.mat
USGS_ext;Marble, blocks and other;M.dim
USGS_ext;Rhyolite;M.ign
USGS_ext;Scoria;M.ign
USGS_ext;Construction stone, crushed;M.crs
USGS_ext;Dimension stone;M.dim
USGS_ext;Coral sand for cement manufacture;M.sag
USGS_ext;River sand for cement manufacture;M.sag
USGS_ext;River sand and gravel;M.sag
USGS_ext;Quarried stone;M.crs
USGS_ext;Coral sand and limestone;M.lim
USGS_ext;Limestone and Dolomite, crushed;M.crs
USGS_ext;Soapstone;M.tal
USGS_ext;Chalk;M.cha
USGS_ext;Dolomite, for all things;M.dol
USGS_ext;Limestone, for all things;M.lim
USGS_ext;Limestone and Granite, crushed;M.lim
USGS_ext;Marl for agriculture;M.mas
USGS_ext;Mine fill;
USGS_ext;Millstones and grindstones;M.osm
USGS_ext;Laterite;M.lat
USGS_ext;Columbite and tantalite;O.NbTa
USGS_ext;Sand, common;M.sag
USGS_ext;Stone, sand and gravel;M.sag
USGS_ext;Siliconmaganese;
USGS_ext;Marble and other calcareous stone, Dimension;M.dim
USGS_ext;Stone, Dimension of which, dolomite and limestone;M.dim
USGS_ext;Dolomite and Limestone, Dimension;M.dim
USGS_ext;Igneous rock (basalt, basaltic lava, diabase, granite, porphyry, etc.);M.ign
USGS_ext;Grinding stone;M.osm
USGS_ext;Roofing for office and industry;
USGS_ext;Splittings and ground;
USGS_ext;Printing stone;M.sto
USGS_ext;Molding sand;M.ins
USGS_ext;Klebsand;M.ins
USGS_ext;Gravel, construction;M.sag
USGS_ext;Gravel, including flint and pebbles;M.sag
USGS_ext;other Gravel including quartzite;M.sag
USGS_ext;Gravel including terrazzo splits;M.sag
USGS_ext;Sand, including from Granite and pegmatite;M.sag
USGS_ext;Foundry Sand;M.ins
USGS_ext;Abrasives, natural (puzzolan, pumice, volcanic cinder etc.);M.abr
USGS_ext;Flysch;M.sto
USGS_ext;Stone, crushed and broken;M.crs
USGS_ext;Jadeite;M.osm
USGS_ext;Building sand;M.sag
USGS_ext;River sand;M.sag
USGS_ext;Volcanic sand;M.ign
USGS_ext;Volcanic scoria;M.ign
USGS_ext;Volcanic tuff;M.ign
USGS_ext;Basaltic andesite;M.ign
USGS_ext;Flagstone, phyllite;M.sas
USGS_ext;Marble, unspecified including chips and pieces;M.mat
USGS_ext;Schist, slate;M.sla
USGS_ext;Steatite;M.tal
USGS_ext;Stones including pebbles;M.sto
USGS_ext;Stone dust;M.sto
USGS_ext;Stone round unworked;M.sto
USGS_ext;Loam;M.loa
USGS_ext;Diamonds, industrial;Nm.dii
USGS_ext;Silicia sand;M.SiO2
USGS_ext;Clay for cement;M.coc
USGS_ext;Gypsum, for cement;M.gya
USGS_ext;Limestone, crushed;M.lim
USGS_ext;Marble, for construction;M.mat
USGS_ext;Alginite;M.onm
USGS_ext;Ammonia;
USGS_ext;Chamotte;M.spc
USGS_ext;Paludal mud;M.onm
USGS_ext;Stones, Dimension;M.dim
USGS_ext;Scrap;
USGS_ext;Basaltic sand;M.ign
USGS_ext;Calcareous, shell sand;M.sag
USGS_ext;Basaltic, crushed;M.ign
USGS_ext;Andalustie;M.fic
USGS_ext;Corundum;M.onm
USGS_ext;Diaspore;M.onm
USGS_ext;Dunite;M.ign
USGS_ext;Felsite;M.ign
USGS_ext;Jasper;M.orn
USGS_ext;Pyroxenite;M.ign
USGS_ext;Agate, including chalcedony pebble;Nm.gem
USGS_ext;Soda ash;M.soc
USGS_ext;Steatite, soapstone;M.tal
USGS_ext;Graphite, natural;M.gra
USGS_ext;Industrial clay;M.spc
USGS_ext;Seashell;M.mas
USGS_ext;Limestone for cement;M.lim
USGS_ext;Limestone for construction;M.lim
USGS_ext;Sand, feldspathic;M.sag
USGS_ext;Brick clay;M.coc
USGS_ext;Flint clay;M.fic
USGS_ext;Ball clay;M.bac
USGS_ext;Soda ash/corbonate;M.soc
USGS_ext;Sodium sulfate;
USGS_ext;Limestone crushed;M.lim
USGS_ext;Marble white;M.mat
USGS_ext;Marble colored;M.mat
USGS_ext;Marble, white and colored, crushed;M.mat
USGS_ext;Schist;M.sto
USGS_ext;Schist, crushed;M.crs
USGS_ext;Tufa;M.ign
USGS_ext;Tufa, crushed;M.ign
USGS_ext;Marl for cement;M.mas
USGS_ext;Diabasc;M.ign
USGS_ext;Diorite;M.ign
USGS_ext;Porphyry;M.ign
USGS_ext;Lava;M.ign
USGS_ext;Syenite;M.ign
USGS_ext;Dead Sea mud;M.onm
USGS_ext;Stone, worked;M.sto
USGS_ext;Basalt, gravel and crushed;M.ign
USGS_ext;Granite, gravel and crushed;M.ign
USGS_ext;Marble, gravel and crushed;M.mat
USGS_ext;Gravel and cushed rock;M.sag
USGS_ext;Pozzolanic material;M.abr
USGS_ext;Zeolite taff;M.osm
USGS_ext;Sulphur from pyrites;Nm.S
USGS_ext;Cordierite, iolite;Nm.gem
USGS_ext;Granite for dimension stone;M.dim
USGS_ext;Limestone for dimension stone;M.dim
USGS_ext;Marble for dimension stone;M.dim
USGS_ext;Andesite;M.ign
USGS_ext;Bentonite, sepiolite and attapulgite;M.ben
USGS_ext;Clay, conrete aggregates;M.coc
USGS_ext;Granite crushed;M.ign
USGS_ext;Dolomite, crushed;M.dol
USGS_ext;Limestone flux;M.lim
USGS_ext;Dolomite, agglomerated;M.dol
USGS_ext;Dolomite, not frayed;M.dol
USGS_ext;Dolomite, sintered;M.dol
USGS_ext;Granite, crude;M.ign
USGS_ext;Marble and travertine, crude;M.mat
USGS_ext;Amethyst, gem;Nm.gem
USGS_ext;Amethyst, geodes;M.onm
USGS_ext;Beryl, gem;Nm.gem
USGS_ext;Chalcedony, gem;Nm.gem
USGS_ext;Apatite, gem;Nm.gem
USGS_ext;Amazonite, gem;Nm.gem
USGS_ext;Celesite, gem;Nm.gem
USGS_ext;Labradorite, gem;Nm.gem
USGS_ext;other Gemstones;Nm.gem
USGS_ext;Quartz, crystal;M.qar
USGS_ext;Quartz, geodes;M.qar
USGS_ext;Quartz, hematoid;M.qar
USGS_ext;Quartz, piezoelectric;M.qar
USGS_ext;Quartz, smelting;M.qar
USGS_ext;Rosenquartz;M.qar
USGS_ext;Rhodonite;Nm.gem
USGS_ext;Quartz, other ornamental;M.orn
USGS_ext;Quartz, metallurgical;M.qar
USGS_ext;Cipoline marble;M.mat
USGS_ext;Ilmenite concentrate;Con.Ti
USGS_ext;Rutile concentrate;Con.Ti
USGS_ext;Zircon concentrate;Con.Zr
USGS_ext;Calcite, industrial;M.cal
USGS_ext;Stone, crushed for aggregate;M.sag
USGS_ext;Stone, crude and partly worked;M.sto
USGS_ext;Ornamental Stone;M.orn
USGS_ext;Semiprecious stones;Nm.gem
