MFA4Plus;MFA13Plus;CCC_Code;CCC_Name;material_id;material_name
Non-metallic minerals;Non-metallic minerals - industrial or agricultural dominant;A.3.4.3;Industrial minerals n.e.c;M.irp;Iron ore for pigments
Non-metallic minerals;Non-metallic minerals - industrial or agricultural dominant;A.3.4.3;Industrial minerals n.e.c;O.MgCO3;Magnesite
Non-metallic minerals;Non-metallic minerals - industrial or agricultural dominant;A.3.4.3;Industrial minerals n.e.c;M.mic;Mica
Non-metallic minerals;Non-metallic minerals - industrial or agricultural dominant;A.3.4.3;Industrial minerals n.e.c;O.nep;Nepheline syenite
Non-metallic minerals;Non-metallic minerals - industrial or agricultural dominant;A.3.4.3;Industrial minerals n.e.c;M.och;Ochre and pigment earths
Non-metallic minerals;Non-metallic minerals - industrial or agricultural dominant;A.3.4.3;Industrial minerals n.e.c;M.per;Perlite
Non-metallic minerals;Non-metallic minerals - industrial or agricultural dominant;A.3.4.3;Industrial minerals n.e.c;M.qar;Qartz and quartzite
Non-metallic minerals;Non-metallic minerals - industrial or agricultural dominant;A.3.4.3;Industrial minerals n.e.c;M.soc;Sodium carbonate, natural
Non-metallic minerals;Non-metallic minerals - industrial or agricultural dominant;A.3.4.3;Industrial minerals n.e.c;M.tal;Talc (steatite, soapstone, pyrophyllite)
Non-metallic minerals;Non-metallic minerals - industrial or agricultural dominant;A.3.4.3;Industrial minerals n.e.c;M.ver;Vermiculite
Non-metallic minerals;Non-metallic minerals - industrial or agricultural dominant;A.3.4.3;Industrial minerals n.e.c;M.wol;Wollastonite
Non-metallic minerals;Non-metallic minerals - industrial or agricultural dominant;A.3.5;Salt;M.brs;Brine salt
Non-metallic minerals;Non-metallic minerals - industrial or agricultural dominant;A.3.5;Salt;M.evs;Evaporated salt
Non-metallic minerals;Non-metallic minerals - industrial or agricultural dominant;A.3.5;Salt;M.ros;Rock salt
Non-metallic minerals;Non-metallic minerals - industrial or agricultural dominant;A.3.5;Salt;M.sal;Salt nec
Non-metallic minerals;Non-metallic minerals - industrial or agricultural dominant;A.3.5;Salt;M.ses;Sea salt
Non-metallic minerals;Non-metallic minerals - construction dominant;A.3.6;Gypsum;M.gya;Gypsum and anhydrite
Non-metallic minerals;Non-metallic minerals - construction dominant;A.3.7.1;Structural clays;M.coc;Common clay, clay for bricks etc.
Non-metallic minerals;Non-metallic minerals - construction dominant;A.3.7.1;Structural clays;M.loa;Loam
Non-metallic minerals;Non-metallic minerals - industrial or agricultural dominant;A.3.7.2;Specialty clays;M.bac;Ball clay
Non-metallic minerals;Non-metallic minerals - industrial or agricultural dominant;A.3.7.2;Specialty clays;M.ben;Bentonite, sepiolite and attapulgite
Non-metallic minerals;Non-metallic minerals - industrial or agricultural dominant;A.3.7.2;Specialty clays;M.fic;Fire, refactory and flint clay, Andalusite, kyanite and sillimanite
Non-metallic minerals;Non-metallic minerals - industrial or agricultural dominant;A.3.7.2;Specialty clays;M.fue;Fuller's earth
Non-metallic minerals;Non-metallic minerals - industrial or agricultural dominant;A.3.7.2;Specialty clays;M.ill;Illite
Non-metallic minerals;Non-metallic minerals - industrial or agricultural dominant;A.3.7.2;Specialty clays;M.kao;Kaolin
Non-metallic minerals;Non-metallic minerals - industrial or agricultural dominant;A.3.7.2;Specialty clays;M.lat;Laterite
Non-metallic minerals;Non-metallic minerals - industrial or agricultural dominant;A.3.7.2;Specialty clays;M.poc;Potter clay
Non-metallic minerals;Non-metallic minerals - industrial or agricultural dominant;A.3.7.2;Specialty clays;M.spc;Special clay
Non-metallic minerals;Non-metallic minerals - industrial or agricultural dominant;A.3.8.1;Industrial sand and gravel;M.ins;Industrial sand
Non-metallic minerals;Non-metallic minerals - industrial or agricultural dominant;A.3.8.1;Industrial sand and gravel;Nm.SiO2;Silica
Non-metallic minerals;Non-metallic minerals - industrial or agricultural dominant;A.3.8.1;Industrial sand and gravel;M.SiO2;Silica Sand
Non-metallic minerals;Non-metallic minerals - construction dominant;A.3.8.2;Sand gravel and crushed rock for construction;M.crs;Crushed stone
Non-metallic minerals;Non-metallic minerals - construction dominant;A.3.8.2;Sand gravel and crushed rock for construction;M.sag;Sand and gravel
Non-metallic minerals;Non-metallic minerals - industrial or agricultural dominant;A.3.9;Other non-metallic minerals n.e.c.;M.asp;Asphalt
Non-metallic minerals;Non-metallic minerals - industrial or agricultural dominant;A.3.9;Other non-metallic minerals n.e.c.;M.chf;Chert and flint
Non-metallic minerals;Non-metallic minerals - industrial or agricultural dominant;A.3.9;Other non-metallic minerals n.e.c.;M.onm;Other non-metallic minerals n.e.c.
Non-metallic minerals;Non-metallic minerals - industrial or agricultural dominant;A.3.9;Other non-metallic minerals n.e.c.;M.osm;Silicate minerals n.e.c.
Non-metallic minerals;Non-metallic minerals - industrial or agricultural dominant;A.3.9;Other non-metallic minerals n.e.c.;M.sto;Stone, n.e.c.
Fossil Fuels;Coal;A.4.1.1.1;Lignite (brown coal);F.lig;Lignite
Fossil Fuels;Coal;A.4.1.1.2;Other Sub-Bituminous Coal;F.sbc;Sub-bituminous coal
Fossil Fuels;Coal;A.4.1.2.1;Anthracite;F.ant;Anthracite
Fossil Fuels;Coal;A.4.1.2.2;Coking Coal;F.coc;Coking Coal
Fossil Fuels;Coal;A.4.1.2.3;Other Bituminous Coal;F.obc;Other bituminous coal
Fossil Fuels;Coal;A.4.1.3;Peat;M.pea;Peat for agricultural use
Fossil Fuels;Coal;A.4.1.3;Peat;F.pea;Peat for energy use
Fossil Fuels;Petroleum;A.4.2.1;Crude oil;F.cro;Crude oil
Fossil Fuels;Natural Gas;A.4.2.2;Natural gas;F.nag;Natural gas
Fossil Fuels;Petroleum;A.4.2.3;Natural gas liquids;F.ngl;Natural gas liquids
Fossil Fuels;Oil shale and tar sands;A.4.3;Oil shale and tar sands;F.ois;Oil shale and oil sands
