alphanumiso;country;material_id;material_name;unit_id;source_all;2016;2017;2018;2019;2020
BDI108;Burundi;Me.Ti;Titanium;t;wmd;;;0;25711.810367100003;
BDI108;Burundi;Me.W;Tungsten;t;wmd;77;144;108;150;166
BDI108;Burundi;Me.reo;;t;wmd;;62;1262;263;296
BEL056;Belgium;Me.As;Arsenic;t;wmd;1000;1000;1000;1000;1000
BEL056;Belgium;M.crs;Crushed stone;t;bgs;46000000;46000000;45000000;45000000;45000000
BEL056;Belgium;Me.In;Indium;t;wmd;20;20;20;20;20
BEL056;Belgium;M.kao;Kaolin;t;bgs;300000;300000;300000;300000;300000
BEL056;Belgium;M.sag;Sand and gravel;t;bgs;20000000;19000000;15500000;15500000;15500000
BEL056;Belgium;Me.Se;Selenium;t;wmd;200;200;200;200;200
BEN204;Benin;Me.Au;Gold;Kg;wmd;7;5;5;5;5
BEN204;Benin;M.sal;Salt nec;t;wmd;500;500;500;500;
BFA854;Burkina Faso;Me.Au;Gold;Kg;wmd;38530;46398;52622;50302;62138
BFA854;Burkina Faso;M.kao;Kaolin;t;bgs;61;37;42;40;40
BFA854;Burkina Faso;Me.Pb;Lead;t;wmd;0;0;0;0;
BFA854;Burkina Faso;O.P;Phosphate rock;t;bgs;1000;1000;1321;1573;1600
BFA854;Burkina Faso;Me.Ag;Silver;Kg;wmd;5670;5470;6160;5670;10012
BFA854;Burkina Faso;Me.Zn;Zinc;t;wmd;80950;91530;99162;106680;78990
BGD050;Bangladesh;M.sal;Salt nec;t;wmd;1620000;1660000;1490000;1224000;
BGR100;Bulgaria;M.bar;Barite;t;wmd;50000;64000;70000;72000;41000
BGR100;Bulgaria;M.ben;Bentonite, sepiolite and attapulgite;t;wmd;37100;54100;45000;45000;40900
BGR100;Bulgaria;Me.Cd;Cadmium;t;wmd;362;333;313;315;311
BGR100;Bulgaria;Me.Cu;Copper;t;wmd;111870;110290;112850;114240;107610
BGR100;Bulgaria;M.crs;Crushed stone;t;bgs;19379125;16444761;21468893;22769369;24611097
BGR100;Bulgaria;M.flu;Fluorspar;t;wmd;4400;0;0;0;0
BGR100;Bulgaria;Me.Au;Gold;Kg;wmd;7920;8670;8995;7467;9349
BGR100;Bulgaria;M.gya;Gypsum and anhydrite;t;wmd;60900;88000;88000;88000;54800
BGR100;Bulgaria;M.kao;Kaolin;t;wmd;338600;322800;323000;330000;276000
BGR100;Bulgaria;Me.Pb;Lead;t;wmd;22040;22860;24200;23350;20680
BGR100;Bulgaria;O.Mn;Manganese ore;t;bgs;41700;2000;0;0;0
BGR100;Bulgaria;M.per;Perlite;t;bgs;0;4800;5000;5000;5000
BGR100;Bulgaria;M.sal;Salt nec;t;wmd;3300000;3400000;3400000;3400000;
BGR100;Bulgaria;M.sag;Sand and gravel;t;bgs;8571694;9860186;8610204;8189735;8500308
BGR100;Bulgaria;Me.Ag;Silver;Kg;wmd;59606;59484;47016;40755;39126
BGR100;Bulgaria;Me.Te;Tellurium;t;wmd;4;5;4;3;4
BGR100;Bulgaria;M.ver;Vermiculite;t;bgs;10000;10000;10000;10000;10000
BGR100;Bulgaria;Me.Zn;Zinc;t;wmd;18790;19250;20390;19170;17520
BHS044;Bahamas;M.sal;Salt nec;t;wmd;308007;349710;854223;714387;
BIH070;Bosnia and Herzegovina;O.Al;Bauxite;t;wmd;738609;740384;760244;1043343;619748
BIH070;Bosnia and Herzegovina;M.ben;Bentonite, sepiolite and attapulgite;t;wmd;102858;92344;87358;94601;69183
BIH070;Bosnia and Herzegovina;O.Fe;Ferrous ore;t;bgs;1751800;1621907;1380488;1450205;1427410
BIH070;Bosnia and Herzegovina;M.gya;Gypsum and anhydrite;t;wmd;61231;99001;122421;130788;140994
BIH070;Bosnia and Herzegovina;M.kao;Kaolin;t;wmd;271502;252959;303626;118005;108174
BIH070;Bosnia and Herzegovina;Me.Pb;Lead;t;wmd;6600;6740;7070;7470;6110
BIH070;Bosnia and Herzegovina;O.MgCO3;Magnesite;t;wmd;7300;8500;5950;1400;652
BIH070;Bosnia and Herzegovina;Me.Mn;Manganese;t;wmd;1000;0;0;0;0
BIH070;Bosnia and Herzegovina;M.sal;Salt nec;t;wmd;966177;1029302;1063458;1069210;
BIH070;Bosnia and Herzegovina;Me.Zn;Zinc;t;wmd;8840;9180;9350;9160;6610
BLR112;Belarus;Me.K2O;Potassium oxide;t;wmd;6180100;7101800;7346096;7348293;7562153
BLR112;Belarus;M.sal;Salt nec;t;wmd;2480000;2629000;2904097;2517590;
BOL068;Bolivia;Me.Sb;Antimony;t;wmd;2669;2881;3110;2747;2629
BOL068;Bolivia;Me.As;Arsenic;t;wmd;38;20;238;126;50
BOL068;Bolivia;M.bar;Barite;t;wmd;16632;29114;53163;39458;9611
BOL068;Bolivia;M.ben;Bentonite, sepiolite and attapulgite;t;wmd;525;68;2;0;0
BOL068;Bolivia;Me.Bi;Bismuth;t;wmd;57;8;39;0;55
