alphanumiso;material_id;Concentration;UsedSource;CountryID;CommodityID
GEO268;Me.Mn;0.21;75;GE;25
GUF254;Me.Au;1.80E-06;74;GF;20
GHA288;Me.Al;0.6;250;GH;10
GHA288;Me.Au;4.00E-06;106;GH;20
GHA288;Me.Mn;0.3198;119;GH;25
GHA288;Me.Ag;3.00E-04;106;GH;34
GHA288;Nm.dig;1.28E-07;250;GH;74
GHA288;Nm.dii;1.28E-07;250;GH;75
GIN324;Me.Al;0.6;250;GN;10
GIN324;Me.Au;4.00E-06;106;GN;20
GIN324;Nm.dig;1.13E-07;250;GN;74
GIN324;Nm.dii;1.13E-07;250;GN;75
GNQ226;Me.Au;4.00E-06;106;GQ;20
GRC300;Me.Fe;0.3813;105;GR;7
GRC300;Me.Al;0.22;38;GR;10
GRC300;Me.Cu;0.0099;"9";GR;17
GRC300;Me.Au;2.86E-06;"106";GR;20
GRC300;Me.Mn;0.357;8;GR;25
GTM320;Me.Fe;0.46;6;GT;7
GTM320;Me.Sb;0.05;120;GT;8
GTM320;Me.Cu;0.0099;"9";GT;17
GTM320;Me.Au;2.60E-06;15;GT;20
GTM320;Me.Ni;0.03;"120";GT;28
GTM320;Me.Ag;3.00E-04;106;GT;34
GUY328;Me.Al;0.52;2;GY;10
GUY328;Me.Au;1.35E-06;77;GY;20
GUY328;Nm.dig;3.01E-07;250;GY;74
HND340;Me.Sb;0.05;"120";HN;8
HND340;Me.Cu;0.005;66;HN;17
HND340;Me.Au;3.20E-06;78;HN;20
HND340;Me.Ag;3.00E-04;106;HN;34
HRV191;Me.Al;0.353666667;250;HR;10
HRV191;Me.Ag;3.00E-04;"106";HR;34
HUN348;Me.Al;0.353666667;250;HU;10
HUN348;Me.Au;5.00E-06;250;HU;20
HUN348;Me.Mn;0.215;89;HU;25
HUN348;Me.Ag;3.00E-04;"106";HU;34
HUN348;Me.U;1.20E-04;"106";HU;40
IDN360;Me.Fe;0.428888889;250;ID;7
IDN360;Me.Al;0.398;2;ID;10
IDN360;Me.Cr;0.373;3;ID;15
IDN360;Me.Cu;0.0085;52;ID;17
IDN360;Me.Au;5.00E-06;254;ID;20
IDN360;Me.Ni;0.002;52;ID;28
IDN360;Me.Ag;3.00E-04;106;ID;34
IDN360;Me.Sn;1.90E-04;43;ID;37
IDN360;Nm.dig;5.07E-07;250;ID;74
IDN360;Nm.dii;5.07E-07;250;ID;75
IRL372;Me.Cu;0.0099;"9";IE;17
IRL372;Me.Ag;3.00E-04;106;IE;34
ISR376;Me.Cu;0.0052;"9";IL;17
ISR376;Me.K2O;0.45;251;IL;86
IND356;Me.Fe;0.53;6;IN;7
IND356;Me.Al;0.38575;250;IN;10
IND356;Me.Cr;0.44;3;IN;15
IND356;Me.Cu;0.0133;42;IN;17
IND356;Me.Au;1.00E-05;120;IN;20
IND356;Me.Mn;0.24;8;IN;25
IND356;Me.Ce;0.05;50;IN;31
IND356;Me.Dy;0.05;50;IN;31
IND356;Me.Er;0.05;50;IN;31
IND356;Me.Eu;0.05;50;IN;31
IND356;Me.Gd;0.05;50;IN;31
IND356;Me.Ho;0.05;50;IN;31
IND356;Me.La;0.05;50;IN;31
IND356;Me.Lu;0.05;50;IN;31
IND356;Me.Nd;0.05;50;IN;31
IND356;Me.Pr;0.05;50;IN;31
IND356;Me.Pm;0.05;50;IN;31
IND356;Me.Sm;0.05;50;IN;31
IND356;Me.Sc;0.05;50;IN;31
IND356;Me.Tb;0.05;50;IN;31
IND356;Me.Tm;0.05;50;IN;31
IND356;Me.Yb;0.05;50;IN;31
IND356;Me.Y;0.05;50;IN;31
IND356;Me.Ag;3.00E-04;106;IN;34
IND356;Me.W;0.00515;"99";IN;39
IND356;Me.U;0.002;106;IN;40
IND356;Nm.dig;1.27E-07;250;IN;74
IRQ368;Me.Fe;0.428888889;250;IQ;7
IRQ368;Me.Al;0.38575;250;IQ;10
IRN364;Me.Fe;0.428888889;250;IR;7
IRN364;Me.Al;0.38575;250;IR;10
IRN364;Me.Cr;0.5;3;IR;15
IRN364;Me.Cu;0.0052;9;IR;17
IRN364;Me.Au;1.00E-05;120;IR;20
IRN364;Me.Mn;0.3573;8;IR;25
IRN364;Me.Mo;0.0019;52;IR;27
IRN364;Me.Ag;3.00E-04;106;IR;34
ITA380;Me.Al;0.446;2;IT;10
ITA380;Me.Cu;0.0074;"42";IT;17
ITA380;Me.Au;6.00E-05;21;IT;20
ITA380;Me.Mn;0.2896;250;IT;25
ITA380;Me.Hg;0.0105;"99";IT;26
ITA380;Me.K2O;0.45;251;IT;86
JAM388;Me.Al;0.44;2;JM;10
JAM388;Me.Au;2.60E-06;15;JM;20
JOR400;Me.K2O;0.45;251;JO;86
JPN392;Me.Fe;0.46;6;JP;7
JPN392;Me.Cr;0.373;3;JP;15
JPN392;Me.Cu;0.0052;9;JP;17
JPN392;Me.Au;1.00E-05;120;JP;20
JPN392;Me.Mo;0.0019;"52";JP;27
JPN392;Me.Ir;1.00E-05;"120";JP;30
JPN392;Me.Os;1.00E-05;"120";JP;30
JPN392;Me.Pd;1.00E-05;"120";JP;30
JPN392;Me.Pt;1.00E-05;"120";JP;30
JPN392;Me.Rh;1.00E-05;"120";JP;30
JPN392;Me.Ru;1.00E-05;"120";JP;30
JPN392;Me.Ag;3.00E-04;106;JP;34
JPN392;Me.Sn;0.015;"99";JP;37
JPN392;Me.W;0.00515;"99";JP;39
KEN404;Me.Au;4.00E-06;106;KE;20
KGZ417;Me.Sb;0.05;120;KG;8
KGZ417;Me.Au;5.50E-06;81;KG;20
KGZ417;Me.Mo;8.12E-04;250;KG;27
KGZ417;Me.W;0.00165;25;KG;39
PRK408;Me.Fe;0.428888889;250;KP;7
PRK408;Me.Cu;0.0052;9;KP;17
PRK408;Me.Au;1.00E-05;120;KP;20
PRK408;Me.Ce;0.03;50;KP;31
PRK408;Me.Dy;0.03;50;KP;31
PRK408;Me.Er;0.03;50;KP;31
