"Commodity","File_name"
"gold","myb1-2013-gold.xls"
"gold","myb1-2014-gold.xls"
"graphite","myb1-2013-graph.xls"
"gypsum","myb1-2013-gypsu.xls"
"gypsum","myb1-2014-gypsu.xls"
"zirconium","myb1-2013-zirco.xls"
"zirconium","myb1-2014-zirco.xls"
"helium","myb1-2013-heliu.xls"
"helium","myb1-2014-heliu.xlsx"
"titanium","myb1-2013-titan.xlsx"
"titanium","myb1-2014-titan.xlsx"
"indium","myb1-2013-indiu.xls"
"indium","myb1-2014-indiu.xls"
"iodine","myb1-2013-iodin.xls"
"iodine","myb1-2014-iodin.xls"
"iodine","myb1-2015-iodin.xlsx"
"platinum","myb1-2013-plati.xls"
"platinum","myb1-2014-plati.xls"
"iron_&_steel","myb1-2013-feste.xls"
"iron_&_steel","myb1-2014-feste.xls"
"iron_&_steel_scrap","myb1-2013-fescr.xls"
"iron_&_steel_scrap","myb1-2014-fescr.xls"
"iron_&_steel_slag","myb1-2013-fesla.xls"
"iron_&_steel_slag","myb1-2014-fesla.xls"
"iron_ore","myb1-2013-feore.xls"
"iron_ore","myb1-2014-feore-adv.xls"
"iron_oxide","myb1-2013-feoxi.xls"
"iron_oxide","myb1-2014-feoxi.xls"
"kyanite","myb1-2013-kyani.xls"
"kyanite","myb1-2014-kyani.xls"
"kyanite","myb1-2015-kyani-advrel.xlsx"
"lead","myb1-2013-lead.xls"
"lead","myb1-2014-lead.xls"
"lime","myb1-2013-lime.xls"
"lime","myb1-2014-lime.xls"
"lithium","myb1-2013-lithi.xls"
"lithium","myb1-2014-lithi.xls"
"magnesium","myb1-2013-mgcom.xls"
"magnesium","myb1-2014-mgcom.xls"
"magnesium","myb1-2015-mgcom.xls"
"magnesium","myb1-2013-mgmet.xls"
"magnesium","myb1-2014-mgmet.xls"
"magnesium","myb1-2015-mgmet-advrel.xlsx"
"manganese","myb1-2013-manga.xls"
"mercury","myb1-2013-mercu.xls"
"mercury","myb1-2014-mercu.xlsx"
"mercury","myb1-2015-mercu.xlsx"
"mica","myb1-2013-mica.xls"
"mica","myb1-2014-mica.xls"
"mica","myb1-2015-mica.xlsx"
"molybdenum","myb1-2013-molyb.xls"
"molybdenum","myb1-2014-molyb.xls"
"molybdenum","myb1-2015-molyb.xlsx"
"nickel","myb1-2013-nicke.xls"
"nitrogen","myb1-2013-nitro.xls"
"nitrogen","myb1-2014-nitro.xls"
"peat","myb1-2013-peat.xls"
"peat","myb1-2014-peat.xls"
"perlite","myb1-2013-perli.xls"
"perlite","myb1-2014-perli.xlsx"
"phosphate_rock","myb1-2013-phosp.xls"
"phosphate_rock","myb1-2014-phosp.xls"
"phosphate_rock","myb1-2015-phosp.xlsx"
"potash","myb1-2013-potas.xls"
"potash","myb1-2014-potas.xls"
"pumice","myb1-2013-pumic.xls"
"pumice","myb1-2014-pumic.xls"
"pumice","myb1-2015-pumic.xlsx"
"talc","myb1-2013-talc.xls"
"talc","myb1-2014-talc.xls"
"silica","myb1-2013-silic.xls"
"silica","myb1-2014-silic.xls"
"rare_earths","myb1-2013-raree.xls"
"rare_earths","myb1-2014-raree.xls"
"recycle","myb1-2013-recyc.xls"
"recycle","myb1-2014-recyc.xls"
"rhenium","myb1-2013-rheni.xls"
"rhenium","myb1-2014-rheni.xls"
"salt","myb1-2013-salt.xls"
"salt","myb1-2014-salt.xls"
"sand_&_gravel_construction","myb1-2013-sandc.xls"
"selenium","myb1-2013-selen.xls"
"selenium","myb1-2014-selen.xls"
"silicon","myb1-2013-simet.xls"
"silicon","myb1-2014-simet.xls"
"silver","myb1-2013-silve.xls"
"silver","myb1-2014-silve.xlsx"
"soda_ash","myb1-2013-sodaa.xls"
"soda_ash","myb1-2014-sodaa.xls"
"soda_ash","myb1-2015-sodaa.xlsx"
"statistical_summary","myb1-2013-stati.xls"
"strontium","myb1-2013-stron.xls"
"strontium","myb1-2014-stron.xls"
"strontium","myb1-2015-stron.xlsx"
"sulfur","myb1-2013-sulfu.xls"
"sulfur","myb1-2014-sulfu.xlsx"
"thorium","myb1-2013-thori.xls"
"thorium","myb1-2014-thori.xls"
"tin","myb1-2013-tin.xls"
"tin","myb1-2014-tin.xls"
"tungsten","myb1-2013-tungs.xls"
"tungsten","myb1-2014-tungs.xls"
"vanadium","myb1-2013-vanad.xls"
"vanadium","myb1-2014-vanad.xlsx"
"vanadium","myb1-2015-vanad.xlsx"
"vermiculite","myb1-2013-vermi.xls"
"vermiculite","myb1-2014-vermi.xls"
"vermiculite","myb1-2015-vermi-advrel.xls"
"zeolites","myb1-2013-zeoli.xls"
"zeolites","myb1-2014-zeoli.xls"
"zeolites","myb1-2015-zeoli.xlsx"
"zinc","myb1-2013-zinc.xls"
"zinc","myb1-2014-zinc.xls"
