"Commodity","File_name"
"magnesium-compounds-statistics-and-informatio","myb1-2016-mgcom.xlsx"
"magnesium-compounds-statistics-and-informatio","myb1-2017-mgcom.xls"
"manganese-statistics-and-informatio","myb1-2014-manga.xlsx"
"manganese-statistics-and-informatio","myb1-2015-manga.xlsx"
"manganese-statistics-and-informatio","myb1-2016-manga-adv.xlsx"
"mercury-statistics-and-informatio","myb1-2016-mercu.xlsx"
"mercury-statistics-and-informatio","myb1-2017-mercu.xls"
"mercury-statistics-and-informatio","myb1-2018-mercu-adv.xlsx"
"mica-statistics-and-informatio","myb1-2016-mica.xlsx"
"mica-statistics-and-informatio","myb1-2017-mica.xls"
"mica-statistics-and-informatio","myb1-2018-mica-adv.xlsx"
"molybdenum-statistics-and-informatio","myb1-2016-molyb.xlsx"
"molybdenum-statistics-and-informatio","myb1-2017-molyb.xls"
"molybdenum-statistics-and-informatio","myb1-2018-molyb-adv.xlsx"
"nickel-statistics-and-informatio","myb1-2014-nicke.xls"
"nickel-statistics-and-informatio","myb1-2015-nicke.xlsx"
"nickel-statistics-and-informatio","myb1-2016-nickel.xls"
"nitrogen-statistics-and-informatio","myb1-2015-nitro.xls"
"nitrogen-statistics-and-informatio","myb1-2016-nitro.xlsx"
"nitrogen-statistics-and-informatio","myb1-2017-nitro.xls"
"nitrogen-statistics-and-informatio","myb1-2018-nitro-adv.xlsx"
"peat-statistics-and-informatio","myb1-2015-peat.xls"
"peat-statistics-and-informatio","myb1-2016-peat.xlsx"
"peat-statistics-and-informatio","myb1-2017-peat.xls"
"peat-statistics-and-informatio","myb1-2018-peat-advrel.xlsx"
"perlite-statistics-and-informatio","myb1-2015-perli.xlsx"
"perlite-statistics-and-informatio","myb1-2016-perli.xls"
"perlite-statistics-and-informatio","myb1-2017-perli.xls"
"phosphate-rock-statistics-and-informatio","myb1-2016-phosp.xlsx"
"phosphate-rock-statistics-and-informatio","myb1-2017-phosp.xls"
"phosphate-rock-statistics-and-informatio","myb1-2018-phosp-adv.xlsx"
"potash-statistics-and-informatio","myb1-2015-potas.xlsx"
"potash-statistics-and-informatio","myb1-2016-potas.xls"
"potash-statistics-and-informatio","myb1-2017-potas.xls"
"potash-statistics-and-informatio","myb1-2018-potas-adv.xlsx"
"pumice-and-pumicite-statistics-and-informatio","myb1-2016-pumic.xlsx"
"pumice-and-pumicite-statistics-and-informatio","myb1-2017-pumic.xls"
"pumice-and-pumicite-statistics-and-informatio","myb1-2018-pumic-adv.xlsx"
"talc-and-pyrophyllite-statistics-and-informatio","myb1-2015-talc.xls"
"talc-and-pyrophyllite-statistics-and-informatio","myb1-2016-talc.xlsx"
"talc-and-pyrophyllite-statistics-and-informatio","myb1-2017-talc.xls"
"silica-statistics-and-informatio","myb1-2015-silic.xls"
"silica-statistics-and-informatio","myb1-2016-silic.xlsx"
"silica-statistics-and-informatio","myb1-2017-silic.xls"
"silica-statistics-and-informatio","myb1-2018-silic-adv.xlsx"
"rare-earths-statistics-and-informatio","myb1-2015-raree.xlsx"
"rare-earths-statistics-and-informatio","myb1-2016-raree.xls"
"rare-earths-statistics-and-informatio","myb1-2017-raree.xls"
"recycling-statistics-and-informatio","myb1-2015-recyc.xlsx"
"recycling-statistics-and-informatio","myb1-2016-recyc.xlsx"
"recycling-statistics-and-informatio","myb1-2017-recyc.xls"
"rhenium-statistics-and-informatio","myb1-2015-rheni.xls"
"rhenium-statistics-and-informatio","myb1-2016-rheni.xlsx"
"rhenium-statistics-and-informatio","myb1-2017-rheni.xls"
"rhenium-statistics-and-informatio","myb1-2018-rheni-adv.xlsx"
"salt-statistics-and-informatio","myb1-2015-salt.xls"
"salt-statistics-and-informatio","myb1-2016-salt.xls"
"salt-statistics-and-informatio","myb1-2017-salt-adv.xlsx"
"construction-sand-and-gravel-statistics-and-informatio","myb1-2014-sandc.xls"
"construction-sand-and-gravel-statistics-and-informatio","myb1-2015-sandc.xlsx"
"construction-sand-and-gravel-statistics-and-informatio","myb1-2016-sandc.xls"
"construction-sand-and-gravel-statistics-and-informatio","myb1-2017-sandc.xls"
"selenium-and-tellurium-statistics-and-informatio","myb1-2015-selen.xls"
