"AlphaNumISO","Year","CCC","UsedValue"
"BRA076",1973,"A.2.1.Fe",50506
"BTN064",1973,"A.2.1.Fe",0
"CAN124",1973,"A.2.1.Fe",47498
"CHL152",1973,"A.2.1.Fe",9401
"CHN156",1973,"A.2.1.Fe",56000
"COL170",1973,"A.2.1.Fe",439
"CSK200",1973,"A.2.1.Fe",1672
"CUB192",1973,"A.2.1.Fe",0
"DEU276",1973,"A.2.1.Fe",5121
"DZA012",1973,"A.2.1.Fe",3135
"ECU218",1973,"A.2.1.Fe",0
"EGY818",1973,"A.2.1.Fe",656
"ESP724",1973,"A.2.1.Fe",6621
"FIN246",1973,"A.2.1.Fe",589
"FRA250",1973,"A.2.1.Fe",54232
"GBR826",1973,"A.2.1.Fe",7105
"GRC300",1973,"A.2.1.Fe",1580
"GTM320",1973,"A.2.1.Fe",0
"HKG344",1973,"A.2.1.Fe",151
"HUN348",1973,"A.2.1.Fe",681
"IDN360",1973,"A.2.1.Fe",281
"IND356",1973,"A.2.1.Fe",35562
"IRN364",1973,"A.2.1.Fe",850
"IRQ368",1973,"A.2.1.Fe",0
"ITA380",1973,"A.2.1.Fe",525
"JPN392",1973,"A.2.1.Fe",1007
"KAZ398",1973,"A.2.1.Fe",0
"KEN404",1973,"A.2.1.Fe",0
"KOR410",1973,"A.2.1.Fe",595
"LBR430",1973,"A.2.1.Fe",23541
"LUX442",1973,"A.2.1.Fe",3782
"MAR504",1973,"A.2.1.Fe",375
"MEX484",1973,"A.2.1.Fe",5189
"MKD807",1973,"A.2.1.Fe",0
"MLI466",1973,"A.2.1.Fe",0
"MNG496",1973,"A.2.1.Fe",0
"MRT478",1973,"A.2.1.Fe",10445
"MYS458",1973,"A.2.1.Fe",517
"NGA566",1973,"A.2.1.Fe",0
"NOR578",1973,"A.2.1.Fe",3970
"NZL554",1973,"A.2.1.Fe",2182
"PAK586",1973,"A.2.1.Fe",0
"PER604",1973,"A.2.1.Fe",8964
"PHL608",1973,"A.2.1.Fe",2255
"POL616",1973,"A.2.1.Fe",1440
"PRK408",1973,"A.2.1.Fe",8900
"PRT620",1973,"A.2.1.Fe",57
"ROU642",1973,"A.2.1.Fe",3234
"RUS643",1973,"A.2.1.Fe",0
"SCG891",1973,"A.2.1.Fe",0
"SDN736",1973,"A.2.1.Fe",0
"SLE694",1973,"A.2.1.Fe",0
"SUN810",1973,"A.2.1.Fe",216000
"SVK703",1973,"A.2.1.Fe",0
"SWE752",1973,"A.2.1.Fe",34727
"SWZ748",1973,"A.2.1.Fe",2145
"THA764",1973,"A.2.1.Fe",36
"TUN788",1973,"A.2.1.Fe",809
"TUR792",1973,"A.2.1.Fe",2537
"UGA800",1973,"A.2.1.Fe",0
"UKR804",1973,"A.2.1.Fe",0
"URY858",1973,"A.2.1.Fe",0
"USA840",1973,"A.2.1.Fe",89076
"VEN862",1973,"A.2.1.Fe",22155
"VNM704",1973,"A.2.1.Fe",0
"YUG890",1973,"A.2.1.Fe",4666
"ZAF710",1973,"A.2.1.Fe",10955
"ZWE716",1973,"A.2.1.Fe",550
"AGO024",1974,"A.2.1.Fe",5606
"ALB008",1974,"A.2.1.Fe",400
"ARG032",1974,"A.2.1.Fe",415
"AUS036",1974,"A.2.1.Fe",96950
"AUT040",1974,"A.2.1.Fe",4245
"AZE031",1974,"A.2.1.Fe",0
"BEL056",1974,"A.2.1.Fe",123
"BGR100",1974,"A.2.1.Fe",2684
"BIH070",1974,"A.2.1.Fe",0
"BOL068",1974,"A.2.1.Fe",0
"BRA076",1974,"A.2.1.Fe",73955
"BTN064",1974,"A.2.1.Fe",0
"CAN124",1974,"A.2.1.Fe",46785
"CHL152",1974,"A.2.1.Fe",10271
"CHN156",1974,"A.2.1.Fe",60000
"COL170",1974,"A.2.1.Fe",444
"CSK200",1974,"A.2.1.Fe",1688
"CUB192",1974,"A.2.1.Fe",0
"DEU276",1974,"A.2.1.Fe",4492
"DZA012",1974,"A.2.1.Fe",3820
"ECU218",1974,"A.2.1.Fe",0
"EGY818",1974,"A.2.1.Fe",1032
"ESP724",1974,"A.2.1.Fe",8237
"FIN246",1974,"A.2.1.Fe",569
"FRA250",1974,"A.2.1.Fe",54260
"GBR826",1974,"A.2.1.Fe",3602
"GRC300",1974,"A.2.1.Fe",2013
"GTM320",1974,"A.2.1.Fe",0
"HKG344",1974,"A.2.1.Fe",160
"HUN348",1974,"A.2.1.Fe",545
"IDN360",1974,"A.2.1.Fe",365
"IND356",1974,"A.2.1.Fe",35485
"IRN364",1974,"A.2.1.Fe",1000
"IRQ368",1974,"A.2.1.Fe",0
"ITA380",1974,"A.2.1.Fe",598
"JPN392",1974,"A.2.1.Fe",778
"KAZ398",1974,"A.2.1.Fe",0
"KEN404",1974,"A.2.1.Fe",0
"KOR410",1974,"A.2.1.Fe",625
"LBR430",1974,"A.2.1.Fe",25706
"LUX442",1974,"A.2.1.Fe",2686
"MAR504",1974,"A.2.1.Fe",534
"MEX484",1974,"A.2.1.Fe",4982
"MKD807",1974,"A.2.1.Fe",0
"MLI466",1974,"A.2.1.Fe",0
"MNG496",1974,"A.2.1.Fe",0
"MRT478",1974,"A.2.1.Fe",11741
"MYS458",1974,"A.2.1.Fe",481
"NGA566",1974,"A.2.1.Fe",0
"NOR578",1974,"A.2.1.Fe",3904
"NZL554",1974,"A.2.1.Fe",2353
"PAK586",1974,"A.2.1.Fe",0
"PER604",1974,"A.2.1.Fe",9525
"PHL608",1974,"A.2.1.Fe",1608
"POL616",1974,"A.2.1.Fe",1296
"PRK408",1974,"A.2.1.Fe",9400
"PRT620",1974,"A.2.1.Fe",53
"ROU642",1974,"A.2.1.Fe",3265
"RUS643",1974,"A.2.1.Fe",0
"SCG891",1974,"A.2.1.Fe",0
"SDN736",1974,"A.2.1.Fe",0
"SLE694",1974,"A.2.1.Fe",0
"SUN810",1974,"A.2.1.Fe",225000
"SVK703",1974,"A.2.1.Fe",0
"SWE752",1974,"A.2.1.Fe",36153
"SWZ748",1974,"A.2.1.Fe",2077
"THA764",1974,"A.2.1.Fe",36
"TUN788",1974,"A.2.1.Fe",795
"TUR792",1974,"A.2.1.Fe",2285
"UGA800",1974,"A.2.1.Fe",0
"UKR804",1974,"A.2.1.Fe",0
"URY858",1974,"A.2.1.Fe",0
"USA840",1974,"A.2.1.Fe",85709
"VEN862",1974,"A.2.1.Fe",25983
"VNM704",1974,"A.2.1.Fe",0
"YUG890",1974,"A.2.1.Fe",5034
"ZAF710",1974,"A.2.1.Fe",11553
"ZWE716",1974,"A.2.1.Fe",600
"AGO024",1975,"A.2.1.Fe",5604
"ALB008",1975,"A.2.1.Fe",650
"ARG032",1975,"A.2.1.Fe",286
"AUS036",1975,"A.2.1.Fe",97651
"AUT040",1975,"A.2.1.Fe",3833
"AZE031",1975,"A.2.1.Fe",0
"BEL056",1975,"A.2.1.Fe",93
"BGR100",1975,"A.2.1.Fe",2337
"BIH070",1975,"A.2.1.Fe",0
"BOL068",1975,"A.2.1.Fe",0
"BRA076",1975,"A.2.1.Fe",89000
"BTN064",1975,"A.2.1.Fe",0
"CAN124",1975,"A.2.1.Fe",44893
"CHL152",1975,"A.2.1.Fe",11007
"CHN156",1975,"A.2.1.Fe",65000
"COL170",1975,"A.2.1.Fe",537
"CSK200",1975,"A.2.1.Fe",1773
"CUB192",1975,"A.2.1.Fe",0
"DEU276",1975,"A.2.1.Fe",3347
"DZA012",1975,"A.2.1.Fe",3188
"ECU218",1975,"A.2.1.Fe",0
"EGY818",1975,"A.2.1.Fe",1087
"ESP724",1975,"A.2.1.Fe",7641
"FIN246",1975,"A.2.1.Fe",348
"FRA250",1975,"A.2.1.Fe",49647
"GBR826",1975,"A.2.1.Fe",4490
"GRC300",1975,"A.2.1.Fe",1974
"GTM320",1975,"A.2.1.Fe",0
"HKG344",1975,"A.2.1.Fe",167
"HUN348",1975,"A.2.1.Fe",642
"IDN360",1975,"A.2.1.Fe",353
"IND356",1975,"A.2.1.Fe",41794
"IRN364",1975,"A.2.1.Fe",1022
"IRQ368",1975,"A.2.1.Fe",0
"ITA380",1975,"A.2.1.Fe",632
"JPN392",1975,"A.2.1.Fe",682
"KAZ398",1975,"A.2.1.Fe",0
"KEN404",1975,"A.2.1.Fe",0
"KOR410",1975,"A.2.1.Fe",644
"LBR430",1975,"A.2.1.Fe",18400
"LUX442",1975,"A.2.1.Fe",2315
"MAR504",1975,"A.2.1.Fe",554
"MEX484",1975,"A.2.1.Fe",5054
"MKD807",1975,"A.2.1.Fe",0
"MLI466",1975,"A.2.1.Fe",0
"MNG496",1975,"A.2.1.Fe",0
"MRT478",1975,"A.2.1.Fe",8677
"MYS458",1975,"A.2.1.Fe",348
"NGA566",1975,"A.2.1.Fe",0
"NOR578",1975,"A.2.1.Fe",4109
"NZL554",1975,"A.2.1.Fe",2297
"PAK586",1975,"A.2.1.Fe",0
"PER604",1975,"A.2.1.Fe",7753
"PHL608",1975,"A.2.1.Fe",1352
"POL616",1975,"A.2.1.Fe",1192
"PRK408",1975,"A.2.1.Fe",9400
"PRT620",1975,"A.2.1.Fe",56
"ROU642",1975,"A.2.1.Fe",3065
"RUS643",1975,"A.2.1.Fe",0
"SCG891",1975,"A.2.1.Fe",0
"SDN736",1975,"A.2.1.Fe",0
"SLE694",1975,"A.2.1.Fe",0
"SUN810",1975,"A.2.1.Fe",232803
"SVK703",1975,"A.2.1.Fe",0
"SWE752",1975,"A.2.1.Fe",30867
"SWZ748",1975,"A.2.1.Fe",2240
"THA764",1975,"A.2.1.Fe",32
"TUN788",1975,"A.2.1.Fe",616
"TUR792",1975,"A.2.1.Fe",2359
"UGA800",1975,"A.2.1.Fe",0
"UKR804",1975,"A.2.1.Fe",0
"URY858",1975,"A.2.1.Fe",0
"USA840",1975,"A.2.1.Fe",80132
"VEN862",1975,"A.2.1.Fe",24772
"VNM704",1975,"A.2.1.Fe",0
"YUG890",1975,"A.2.1.Fe",5239
"ZAF710",1975,"A.2.1.Fe",12298
"ZWE716",1975,"A.2.1.Fe",1246
"AGO024",1976,"A.2.1.Fe",5500
"ALB008",1976,"A.2.1.Fe",480
"ARG032",1976,"A.2.1.Fe",506
"AUS036",1976,"A.2.1.Fe",93255
"AUT040",1976,"A.2.1.Fe",3784
"AZE031",1976,"A.2.1.Fe",0
"BEL056",1976,"A.2.1.Fe",63
"BGR100",1976,"A.2.1.Fe",2316
"BIH070",1976,"A.2.1.Fe",0
"BOL068",1976,"A.2.1.Fe",0
"BRA076",1976,"A.2.1.Fe",92611
"BTN064",1976,"A.2.1.Fe",0
"CAN124",1976,"A.2.1.Fe",55416
"CHL152",1976,"A.2.1.Fe",10055
"CHN156",1976,"A.2.1.Fe",65000
"COL170",1976,"A.2.1.Fe",498
"CSK200",1976,"A.2.1.Fe",1904
"CUB192",1976,"A.2.1.Fe",0
"DEU276",1976,"A.2.1.Fe",3094
"DZA012",1976,"A.2.1.Fe",2789
"ECU218",1976,"A.2.1.Fe",0
"EGY818",1976,"A.2.1.Fe",1242
"ESP724",1976,"A.2.1.Fe",7050
"FIN246",1976,"A.2.1.Fe",1167
"FRA250",1976,"A.2.1.Fe",45181
"GBR826",1976,"A.2.1.Fe",4582
"GRC300",1976,"A.2.1.Fe",2205
"GTM320",1976,"A.2.1.Fe",0
"HKG344",1976,"A.2.1.Fe",0
"HUN348",1976,"A.2.1.Fe",602
"IDN360",1976,"A.2.1.Fe",292
"IND356",1976,"A.2.1.Fe",43868
"IRN364",1976,"A.2.1.Fe",1100
"IRQ368",1976,"A.2.1.Fe",0
"ITA380",1976,"A.2.1.Fe",514
"JPN392",1976,"A.2.1.Fe",745
"KAZ398",1976,"A.2.1.Fe",0
"KEN404",1976,"A.2.1.Fe",0
"KOR410",1976,"A.2.1.Fe",755
"LBR430",1976,"A.2.1.Fe",20783
"LUX442",1976,"A.2.1.Fe",2079
"MAR504",1976,"A.2.1.Fe",343
"MEX484",1976,"A.2.1.Fe",5466
"MKD807",1976,"A.2.1.Fe",0
"MLI466",1976,"A.2.1.Fe",0
"MNG496",1976,"A.2.1.Fe",0
"MRT478",1976,"A.2.1.Fe",9420
"MYS458",1976,"A.2.1.Fe",308
"NGA566",1976,"A.2.1.Fe",0
"NOR578",1976,"A.2.1.Fe",3972
"NZL554",1976,"A.2.1.Fe",2473
"PAK586",1976,"A.2.1.Fe",0
"PER604",1976,"A.2.1.Fe",4776
"PHL608",1976,"A.2.1.Fe",571
"POL616",1976,"A.2.1.Fe",674
"PRK408",1976,"A.2.1.Fe",6660
"PRT620",1976,"A.2.1.Fe",49
"ROU642",1976,"A.2.1.Fe",2835
"RUS643",1976,"A.2.1.Fe",0
"SCG891",1976,"A.2.1.Fe",0
"SDN736",1976,"A.2.1.Fe",0
"SLE694",1976,"A.2.1.Fe",0
"SUN810",1976,"A.2.1.Fe",241256
"SVK703",1976,"A.2.1.Fe",0
"SWE752",1976,"A.2.1.Fe",29861
"SWZ748",1976,"A.2.1.Fe",1936
"THA764",1976,"A.2.1.Fe",25
"TUN788",1976,"A.2.1.Fe",512
"TUR792",1976,"A.2.1.Fe",3602
"UGA800",1976,"A.2.1.Fe",0
"UKR804",1976,"A.2.1.Fe",0
"URY858",1976,"A.2.1.Fe",0
"USA840",1976,"A.2.1.Fe",81277
"VEN862",1976,"A.2.1.Fe",18684
"VNM704",1976,"A.2.1.Fe",0
"YUG890",1976,"A.2.1.Fe",4260
"ZAF710",1976,"A.2.1.Fe",15663
"ZWE716",1976,"A.2.1.Fe",1352
"AGO024",1977,"A.2.1.Fe",5500
"ALB008",1977,"A.2.1.Fe",510
"ARG032",1977,"A.2.1.Fe",1030
"AUS036",1977,"A.2.1.Fe",95923
"AUT040",1977,"A.2.1.Fe",3449
"AZE031",1977,"A.2.1.Fe",0
"BEL056",1977,"A.2.1.Fe",47
"BGR100",1977,"A.2.1.Fe",2270
"BIH070",1977,"A.2.1.Fe",0
"BOL068",1977,"A.2.1.Fe",0
"BRA076",1977,"A.2.1.Fe",82001
"BTN064",1977,"A.2.1.Fe",0
"CAN124",1977,"A.2.1.Fe",53621
"CHL152",1977,"A.2.1.Fe",8021
"CHN156",1977,"A.2.1.Fe",60000
"COL170",1977,"A.2.1.Fe",505
"CSK200",1977,"A.2.1.Fe",1994
"CUB192",1977,"A.2.1.Fe",0
"DEU276",1977,"A.2.1.Fe",2938
"DZA012",1977,"A.2.1.Fe",3183
"ECU218",1977,"A.2.1.Fe",0
"EGY818",1977,"A.2.1.Fe",1409
