Country	ISOAlpha3	ISONum3	AlphaNumISO	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011
Bosnia and Herzegovina	BIH	70	BIH070																					1446.36624	1434.4128	1676.73024	1555.86768	1435.00512	1498.15376	1193.28	1193.47744	1314.73488	1193.87232	2094.27872	2271.17888	2830.92388	4350.165693	4410.38122	4327.580406	5002.95046	5583.005587	5920.721532	4794.083476	4498.70047	4372.855804
Botswana	BWA	72	BWA072												0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1157.844984	1099.543779	1211.647457	940.4751369	2082.090401	1555.171151	1426.276629	1711.056759	1850.13754	2014.385356	2007.49833	1901.84339
Brazil	BRA	76	BRA076	22647.9247	24458.25952	28200.95504	32801.44776	36497.25755	42762.75915	47146.36932	47057.46899	54142.90977	60074.36849	65506.79965	62815.54824	62246.46303	50594.57262	47654.81504	61293.59848	75314.30687	76691.93266	76471.08009	74209.44269	78121.76208	78504.34543	73481.20935	73196.67291	77057.86478	84291.22397	102114.4109	111025.1891	121243.3409	115653.2947	115606.663	115106.62	113041.5027	97379.78632	101367.5298	106429.3174	121542.9643	130025.5991	150649.6734	151729.2474	184263.5655	192266.8649
British Indian Ocean Territory	IOT	86	IOT086																																										
British Virgin Islands	VGB	92	VGB092																																										
Brunei Darussalam	BRN	96	BRN096	191.810044	206.0172609	238.8640591	167.6157266	208.344509	302.1119002	280.1893581	330.7348232	238.787562	155.3869867	298.6090405	270.7816614	507.9053718	498.642124	438.8361166	488.4601259	408.3965965	405.9535645	583.6843844	569.1052178	686.4027656	534.7291128	612.2734357	1002.289464	1438.572794	1475.396612	1682.619791	2326.269209	1447.69652	1276.988722	1255.479963	1068.128884	1077.193098	974.3523265	986.3410433	1027.8894	900.5639968	834.2056785	1069.12432	1122.910642	1393.994724	1544.171365
Bulgaria	BGR	100	BGR100	10131.3992	11242.93774	11853.47854	13076.56107	13715.95812	14742.5572	15292.50265	17187.1595	18960.20304	19428.67164	19576.236	19780.94846	20194.73154	20076.1125	20278.31655	19029.8906	20348.48997	19796.60658	19831.59057	18695.83456	16006.59048	8450.7344	7661.287249	7113.349762	7356.239243	6817.081125	2311.119856	1356.392887	3351.685398	4370.304274	4142.897005	3853.797033	3400.2503	3329.470121	5261.270247	7506.565397	11834.44402	12395.91599	13861.28846	9196.448123	6981.859506	7151.263932
Burkina Faso	BFA	854	BFA854	53.94997013	80.23355127	83.10158858	97.70064495	127.5836159	118.0027314	128.2695782	157.5612945	171.4233521	251.0004677	269.7553056	228.8437202	312.0462123	200.2782332	230.3006969	260.3231607	290.3456244	320.3680882	350.3905519	380.4130157	410.4354794	440.4579432	470.480407	500.5028707	530.5253345	633.1837982	681.3859534	681.136577	705.1816764	858.9031487	996.7285714	316.3234474	344.2037651	1285.042697	1362.742806	1579.17239	1815.587934	2378.865478	2498.290144	2570.581437	2788.872096	2765.220768
Burundi	BDI	108	BDI108					42.87036766	45.93305976	40.49354341	47.21262294	53.93170246	60.65078199	67.36986152	74.08894104	80.80802057	87.52710009	94.24617962	100.9652591	107.6843387	114.4034182	121.1224977	127.8415772	158.4675368	177.1400563	183.8591358	190.5782154	115.5254316	132.6681087	101.6643522	93.52224396	121.679599	111.7711576	123.7361881	143.023017	161.5711982	155.0487231	161.6750319	174.1916432	167.2470586	232.673725	247.1829142	307.4437156	395.398144	522.0959381
Cambodia	KHM	116	KHM116	170.9702294	166.0625321	177.1530638	313.5408428	304.6566217	364.0018167	423.3470116	482.6922066	445.1894015	517.3527141	589.5160267	661.6793393	733.8426519	806.0059645	878.1692771	950.3325897	1022.495902	1094.659215	1166.822527	1238.98584	1311.149153	1383.312465	1455.475778	1527.63909	1599.802403	1671.965716	1973.430911	2032.776105	1971.0613	1950.506895	1927.53129	2056.415207	2460.288577	2414.225307	2690.208382	2926.44038	3539.54813	3556.757707	4628.073107	4244.767943	3882.451076	4076.070709
Cameroon	CMR	120	CMR120	400.2191326	664.2650646	827.398303	829.4904523	977.6196184	1081.925345	1062.200095	1633.008295	1173.862222	2056.619726	1942.178708	1832.468498	1771.83836	2025.972596	2051.797431	2101.529145	2139.307419	3093.217574	2526.82034	1948.469666	1967.689709	1766.398124	1773.78742	2090.327515	2042.792011	1950.149307	954.6253598	1897.889245	2786.685081	2961.328723	3177.549266	3765.134289	3479.579259	3362.453298	4005.443261	4283.937852	4392.647399	4598.29566	4172.914287	4767.765215	5326.772798	5604.972012
Canada	CAN	124	CAN124	37687.94957	41233.09086	46221.63731	51986.81079	52667.92426	52948.93145	50231.83261	52371.00896	52029.83931	60508.1594	57205.44189	52665.92221	39816.36988	40518.15044	40642.37342	49598.71891	50519.87959	59401.65651	56622.80221	62023.46701	57429.73806	52758.56599	41201.77592	42537.58166	51524.9482	50101.95548	51344.67837	58426.1368	57067.23143	59359.28919	60948.67678	57594.92126	59314.36978	59974.45553	60852.87836	62105.46355	67221.66294	63386.58011	65684.37549	58982.70527	73594.09334	74434.10428
Cape Verde	CPV	132	CPV132	41.814124	24.212	19.805416	28.618584	8.813168	8.813168	8.813168	8.813168	92.6157424	131.7471768	69.3141136	95.36230778	121.410502	147.4586961	173.5068903	199.5550845	225.6032787	251.6514728	277.699667	303.7478612	329.7960554	355.8442495	381.8924437	407.9406379	433.9888321	460.0370262	441.5110885	349.7893306	318.6002651	383.9161931	401.9827323	386.5798714	446.4551668	510.4760117	502.8545899	568.1916985	679.0120306	754.3565311	837.434226	705.1207935	729.0234658	709.0242477
Cayman Islands	CYM	136	CYM136											24.21388127										11.95344	11.95344	11.95344	11.95344	11.95344	11.95344	11.95344	11.95344	11.95344	11.95344	11.95344	11.95344	11.95344	11.95344	11.95344	23.90688	0	47.81376	35.86032	23.90688	23.90688	23.90688
Central African Republic	CAF	140	CAF140	0.326774837	0.489118718	18.72772535	36.96633199	29.15056845	46.72723918	38.60926388	37.68627097	23.97383866	19.76310311	35.08103071	42.4179284	49.75482609	57.09172378	64.42862148	71.76551917	79.10241686	86.43931455	93.77621224	101.1131099	85.3534782	69.59384648	53.83421475	38.07458302	42.15836053	33.96841183	25.06739059	29.44603878	47.74640236	60.33811627	52.68062758	47.60614769	28.60208594	24.27267769	43.30548151	42.42856887	36.27134105	30.0488619	37.55974632	64.10121915	68.95913663	102.3257132
Chad	TCD	148	TCD148	33.2826602	27.6681032	27.80591306	37.79000002	29.89367266	34.47243062															11.95344	23.90688	35.86032	11.95344	11.95344	136.7560147	11.95344	11.95344	11.95344	11.95344	11.95344	11.95344	11.95344	11.95344	11.95344	11.95344	11.95344	11.95344	11.95344	11.95344	11.95344	11.95344
Chile	CHL	152	CHL152	4945.207324	3308.260901	3399.340081	3313.752479	3387.942454	2383.581869	2194.774918	2484.850423	2812.311467	3177.224264	3708.790184	4690.512032	2695.259608	2958.167484	3303.750176	3375.326519	3423.911664	3832.358841	4409.09431	4883.578239	4979.754366	5298.819226	6474.403826	7868.39703	7510.657398	8230.818015	10199.96157	10828.98092	10474.28452	8037.106088	9122.799649	9518.127035	9291.372769	9640.306801	10326.25447	11538.77133	11148.51063	12227.14166	13177.22872	11149.79956	12796.39155	14601.03745
China	CHN	156	CHN156	30018.98115	63098.7328	77129.488	70224.82846	72256.91326	85502.85081	133479.8803	149963.3108	174820.8504	196719.2176	213030.9714	224570.9281	249153.0906	283790.8015	318745.9486	379883.1455	426709.2797	467642.7582	537584.844	529772.7162	496009.8273	607833.7877	753539.1066	908882.0204	1038662.003	1163494.262	1197530.727	1255262.616	1324595.92	1415410.415	1480066.12	1638517.445	1799496.259	2137461.865	2415548.406	2621529.832	2999977.059	3312805.991	3400386.728	4052525.238	4719694.738	5179458.74
Christmas Island	CXR	162	CXR162																																										
Cocos (Keeling) Islands	CCK	166	CCK166																																										
Colombia	COL	170	COL170	6127.702015	6351.025673	6361.333399	7052.150021	7317.651537	6609.610421	7121.846113	6953.628737	8505.208093	8646.588646	8569.919648	9164.303329	10618.34621	10299.23408	11251.00475	11798.68216	13252.59402	11558.66127	13637.22092	13613.55308	11738.71854	11400.92359	13312.87864	16370.79802	19892.26677	19833.37395	17893.87122	17052.86614	18336.37603	17631.92124	18550.34402	11021.9772	10168.38735	11714.31454	12925.23814	18545.96102	19483.6048	22010.0791	22072.85134	20536.57504	22430.48859	25745.41683
Comoros	COM	174	COM174																										107.398931	59.12979099	61.60401527	78.71249532	85.56503367	101.0630429	66.36018181	71.2015189	90.13148951	167.7226545	254.3601684	251.7057342	47.01380111	126.2439272	293.0778948	1588.43071	301.5653339
Cook Islands	COK	184	COK184				0																												0	0	0	0	3.546844934	0	2.012242372	0	0.980036388	1.036791737	0.931176572
Costa Rica	CRI	188	CRI188	469.6211866	527.4839818	638.8895788	692.0841999	743.7677719	803.8089267	876.4308935	994.0752945	1221.823698	1293.229748	1358.380513	1016.94932	816.3643644	916.632537	1067.511922	1124.067602	1223.018291	1377.84224	1294.749196	1411.986893	1502.958531	1863.277474	1892.699124	2400.548488	2908.151545	2431.137515	2453.340103	2728.485541	3362.533839	3704.202895	2967.167699	3180.370487	3200.091392	3431.547605	4032.107353	3821.837731	3376.70895	5926.908081	5383.661121	5168.966003	2748.962867	3663.625202
Cote d'Ivoire	CIV	384	CIV384	2048.644301	2392.967728	2919.847423	3228.352097	3336.166534	3682.10371	4257.578471	5548.812885	5946.201156	6301.905712	6105.309302	5646.513367	4951.714106	3485.336392	4178.975479	3298.943094	4217.41847	4385.888846	3874.616807	3371.648263	2405.038795	2454.471727	1954.35154	1848.084632	1777.983164	2978.248897	3252.028425	4502.384907	3609.36982	3917.597128	3188.13451	3080.295649	3270.39276	3116.586149	3080.671104	2842.317501	2405.191084	2925.16467	2832.301008	2593.859702	2818.371752	2479.396925
Croatia	HRV	191	HRV191																					1195.344	1383.183771	3464.945863	3286.699145	3509.969747	3851.820555	4596.750539	5813.49933	6423.769266	5828.720629	5118.123507	5409.096873	6918.65858	9210.018542	9719.434177	8053.460051	8328.078683	9276.272561	9412.516704	7682.898746	5379.642831	5690.088765
Cuba	CUB	192	CUB192	2462.721744	2771.23822	3129.84142	5102.07312	5412.86256	7205.317324	8208.064592	8548.604024	8993.649004	8404.879244	9212.472364	10497.97911	10041.98512	10505.89854	10916.93813	10786.45472	10947.17138	11470.39036	11730.2307	11062.03735	9439.12608	5762.81488	5141.236	2850.62824	2904.19976	3822.13968	3876.6068	4470.25848	4338.77064	2454.710105	2709.050542	1791.100143	1153.883378	1378.199189	1721.589535	1416.411752	2070.649309	5039.65864	4874.10168	4893.1464	5228.62528	5159.4784
Cyprus	CYP	196	CYP196	741.6302803	837.4260119	816.1476003	1244.589241	825.1964915	443.6948643	818.7660504	834.5671116	1128.835026	1374.806099	1528.933275	1522.780307	1543.883816	1585.030606	1611.671674	1631.834601	1514.508599	1168.959661	1210.957581	1797.798182	1661.065837	2113.946699	2308.666178	2378.735652	1548.217959	1837.623173	1797.148014	1335.32402	2704.008203	2726.037657	3120.342747	3323.401758	3451.632054	4019.013319	4526.560017	4695.245792	4610.963648	5199.145737	5692.738913	4220.949212	4076.99796	3707.383001
Czech Republic	CZE	203	CZE203	6817.046832	6120.16128	7172.064	7446.99312	7351.3656	6048.44064	6096.2544	5498.5824	6120.16128	6132.11472	5761.55808	5414.90832	5618.1168	5773.51152	5713.74432	5976.72	6251.64912	6239.69568	6227.74224	6359.23008	6000.62688	3346.9632	3454.54416	10872.79757	11843.42896	13213.26528	12483.62964	12087.02844	12905.99939	12403.73146	12490.24262	12738.55041	14311.95424	15578.43657	17188.25907	17536.21637	19070.55874	19332.78755	19422.57517	15701.18658	13993.10601	14880.27245
Czechoslovakia	CSK	200	CSK200	17958.69412	19303.57388	19519.27858	20333.67342	21755.57154	22576.60046	23175.29058	23652.92071	24757.85954	24887.73271	25587.67742	25829.79742	25050.60683	25471.024	25548.06658	24872.33388	24652.22258	25158.47129	26570.63619	26362.0256	24732.558	20093.5388	20580.2																			
Denmark	DNK	208	DNK208	10365.9591	10543.39292	10568.5276	11683.42672	8814.274119	8630.951702	9554.864905	9859.207968	9555.733659	8990.511217	7194.051003	5690.721361	6126.326527	6094.240591	6315.331992	6890.582269	7571.020695	7337.793035	6679.893044	7012.666033	6124.29752	5637.139506	5397.425494	7130.481467	7343.289684	7812.636988	7929.282119	6899.810225	6191.577829	5373.629171	5111.644989	4442.873657	4578.003075	4774.704253	5736.024862	5389.930034	5500.942723	6285.933901	7006.515755	5540.848298	5272.517301	6161.323239
Djibouti	DJI	262	DJI262											56.55130499	55.69172572		49.58845193	79.69559937	70.59163557	46.82979476	67.87606607	69.73117256	58.66807057	91.67416398	114.5363377	23.90688	23.90688	23.90688	23.90688	23.90688	23.90688	23.90688	23.90688	23.90688	23.90688	35.86032	35.86032	35.86032	35.86032	35.86032	26.297568	19.125504	77.89428701	5.97672	3.586032
Dominica	DMA	212	DMA212								3.740754	6.694618	0.303037392	17.92200326	22.91579605	21.96892768	21.02205932	26.62653686	32.1269028	32.56771131	34.80747143	41.5695828	62.68243712	52.07145487	41.45805143	30.84464799	20.23124455	32.37072006	54.58029808	48.70555166	45.37812072	47.52507623	49.67203175	71.54891268	73.69174731	71.68859412	85.25215168	77.13847805	83.00838448	64.2199088	50.1057752	61.06859594	61.36535758	41.64122772	21.91709786
Dominican Republic	DOM	214	DOM214	1195.201168	1446.109085	1675.658154	1440.040701	1526.272882	1457.073131	1759.116998	2374.938984	2107.647247	2088.911093	2367.49338	2044.345801	2126.186361	2655.750523	2685.628893	2307.427812	2582.548768	2641.196522	3617.381754	3873.729807	2566.297417	2990.023026	3304.794636	3077.217445	3154.711455	3517.907064	3975.594161	4442.310835	4554.850521	7112.802207	6038.953892	6613.942778	11921.51012	10347.50065	9138.37849	9053.280661	8712.914403	7899.320867	8450.236393	6469.666988	7447.853637	6711.234366
DR Congo	COD	180	COD180	1011.952145	1104.938832	1127.563302	1235.236277	1279.821469	1426.654046	1503.94445	1120.828303	1084.357864	1091.743292	1074.141168	990.488708	1311.854584	1243.625168	1296.43154	1093.317464	997.6346062	1192.997876	1199.268784	1113.752	1116.1732	605.3	421.2888	360.7588	121.06	568.982	583.5092	302.65	324.4408	384.9708	409.1828	461.2386	570.1926	801.4172	975.7436	1237.2332	1283.236	1283.236	995.1132	1114.47836	1185.66164	1108.42536
