Country	ISOAlpha3	ISONum3	AlphaNumISO	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011
Botswana	BWA	72	BWA072																															23.91056055	22.7065872	25.02163095	19.4216739	42.99707585	32.1157102	29.45392015	35.33489095	38.2070366	41.5989046	41.4566812	39.2748098
Brazil	BRA	76	BRA076	467.7004111	505.085485	582.3755792	677.379972	753.7018328	883.0901856	973.615755	971.7798816	1118.10073	1240.590792	1352.775476	1297.198667	1285.446535	1044.824315	984.1156253	1024.843901	1263.780238	1273.715761	1266.192759	1296.258066	1292.875371	1372.609271	1207.90508	1241.77191	1267.695873	1428.1796	1742.184713	1919.535516	2016.505252	2013.875893	1957.371768	1963.090639	1925.134215	1724.883309	1734.413267	1834.500531	2034.294676	2256.370267	2571.934586	2605.583857	3050.098971	3338.552339
British Indian Ocean Territory	IOT	86	IOT086																																										
British Virgin Islands	VGB	92	VGB092																																										
Brunei Darussalam	BRN	96	BRN096	2.6774359	3.26704735	3.94536385	2.96771945	3.80880615	5.99203825	5.78616715	6.82997735	4.9311821	3.20888375	4.932303	4.8513411	9.00761465	8.0757716	7.5812712	8.1123535	6.9526672	6.90221635	10.07882175	9.2840496	12.4469	9.3147	8.9412654	16.008056	25.5114058	24.54390493	28.57640407	42.6089032	25.6998191	23.49107718	22.88233527	20.82359335	20.59936185	17.5704908	17.40665297	18.01781513	16.1289773	16.23971416	20.35045102	21.46118788	26.07192474	28.4326616
Bulgaria	BGR	100	BGR100	183.7725	194.409	195.909	209.318	215.3635	218.05	218.5455	233.7275	258	270.6365	268.5	272.7275	281.2725	282.7725	286.4545	265.3635	285.682	275.2725	276.7355	251.8	235.5	118.7	107.031302	100.35	110	103.5	15.0818778	0	45.83872935	63.76383945	58.91956115	42.80386735	49.7297782	42.5905642	77.05331915	112.0656459	185.3950904	202.1738409	237.6189654	153.1345111	113.078764	106.2094419
Burkina Faso	BFA	854	BFA854	1.11411635	1.6568964	1.716124	2.0176079	2.63471865	2.4368646	2.6488844	3.2537852	3.5400494	5.1833898	5.5706944	4.72583265	6.4440404	4.13592915	4.755920554	5.375911958	5.995903363	6.615894767	7.235886171	7.855877575	8.475868979	9.095860383	9.715851788	10.33584319	10.9558346	13.075826	14.0712447	14.06609485	14.5626482	17.73713755	20.5833589	6.532369225	7.10812335	26.53730995	28.14188845	32.6113578	37.49355555	49.1257533	51.59198215	53.08486365	57.5927659	57.1043443
Burundi	BDI	108	BDI108					0.8853124	0.9485598	0.8362288	0.974983953	1.113739106	1.252494259	1.391249412	1.530004565	1.668759718	1.807514871	1.946270024	2.085025176	2.223780329	2.362535482	2.501290635	2.640045788	2.778800941	2.917556094	3.056311247	3.1950664	1.6451576	1.9991696	1.3589136	1.1907716	1.7722468	1.5676284	1.81471725	2.21300795	2.5960449	2.9550488	3.3140527	3.5231623	3.0168815	4.22236095	3.52224855	5.514643325	7.51118305	8.3971937
Cambodia	KHM	116	KHM116	3.530692	3.42934355	3.6583732	6.474905889	6.291438579	7.516971268	8.742503957	9.968036646	9.193569336	10.68380791	12.17404648	13.66428505	15.15452362	16.64476219	18.13500077	19.62523934	21.11547791	22.60571648	24.09595505	25.58619362	27.0764322	28.56667077	30.05690934	31.54714791	33.03738648	34.52762505	40.75315774	41.97869043	40.70422312	40.27975581	39.8052885	42.46685955	50.80721495	49.8559662	55.55526975	60.4336771	73.0949143	73.45030785	95.57395315	87.65835005	80.17617455	84.1745975
Cameroon	CMR	120	CMR120	8.26489205	13.71768265	17.0865336	17.1297384	20.1887415	22.3427504	21.9354059	33.7231186	24.2413312	42.47108305	40.1077711	37.84215468	35.84953825	40.60394425	41.38410025	42.16425625	42.94441225	62.6435316	49.9595114	37.2754912	38.4129512	34.00924592	34.65554064	40.45183536	41.19813008	38.5444248	18.232792	37.9589056	56.31335455	59.9199059	64.38505835	76.51922785	70.62225465	68.20349615	81.48182845	87.2329971	88.73740045	92.7373761	84.1997102	95.4965293	106.5468495	112.0450688
Canada	CAN	124	CAN124	176.2247936	224.2565632	264.328	318.9564	341.4149004	325.9889	302.95615	299.4901504	332.1874532	402.8552	337.11955	343.8420512	232.27425	203.8148496	239.70485	324.9344	350.3752996	453.8129	468.7539131	535.3559848	474.80335	360.5662	165.3534	174.919	340.7684	309.16065	343.2169	371.7083	347.59525	392.213	430.466	421.686	406.5900417	412.5690833	434.6589121	453.3673093	498.7902409	526.4780957	530.7310155	423.6852667	510.9116153	504.8079093
Cape Verde	CPV	132	CPV132	0.8635	0.5	0.409	0.591	0.182	0.182	0.182	0.182	1.9126	2.7207	1.4314	1.969319093	2.507238187	3.04515728	3.583076373	4.120995467	4.65891456	5.196833653	5.734752747	6.27267184	6.810590933	7.348510027	7.88642912	8.424348213	8.962267307	9.5001864	9.1176088	7.2234704	6.5793876	7.9282214	8.301312	7.9832288	9.21970855	10.36900305	10.33503845	11.63493975	13.8839853	15.4004224	17.07902555	14.3219469	14.815559	14.62718985
Cayman Islands	CYM	136	CYM136											0.50003885																															
Central African Republic	CAF	140	CAF140	0.0067482	0.01010075	0.3867447	0.76338865	0.601985967	0.964960333	0.7973167	0.77825605	0.49508175	0.4081262	0.72445545	0.875969115	1.027482779	1.178996444	1.330510108	1.482023773	1.633537437	1.785051102	1.936564766	2.088078431	1.762627586	1.43717674	1.111725895	0.78627505	0.8706088	0.70147885	0.5176646	0.6080877	0.986006988	1.246037425	1.087903263	0.9831106	0.5906593	0.50125305	0.8942979	0.87618885	0.74903645	0.62053655	0.7756432	1.32374895	1.4240694	2.1131198
Chad	TCD	148	TCD148	0.68731745	0.5713717	0.5742176	0.78039815	0.61733175	0.7118873																				2.5772876						0	0	0	0	0	0	0	0	0	0	0
Chile	CHL	152	CHL152	102.1230655	68.31862096	70.19948952	68.43202708	69.96411809	49.2231511	45.32411445	51.3144396	58.0768104	65.61259425	76.5899179	96.8633742	55.6595822	61.0888709	68.22547035	69.70358745	70.70691525	79.14172395	91.0518402	100.8503684	102.8364936	109.4254755	133.7023754	162.4896132	155.1019618	169.9739389	210.6385589	223.628385	216.3035792	165.97361	188.3941775	196.5580505	191.875367	199.0811747	213.2466231	238.2862079	230.2269665	252.5016863	272.1218554	230.2535842	264.2572185	301.5248111
China	CHN	156	CHN156	500	1150	1420	1252.7275	1252.7275	1504.5455	2470.1365	2788.318	3268.818	3702.7725	4001.3635	4208.818	4713.5	5423.8635	6066.7275	7316.677349	8258.995004	9096.903382	10546.20857	10389.81796	9828.350572	12101.57786	15110.52629	18340.71635	20900.57628	23401.70669	23972.27958	25010.70877	26400.29383	28357.15674	29618.54833	32881.58004	36110.40941	42964.3095	48201.75063	52392.75617	60087.57586	66440.4006	68148.06169	81459.31099	93376.71509	102748.0854
Christmas Island	CXR	162	CXR162																																										
Cocos (Keeling) Islands	CCK	166	CCK166																																										
Colombia	COL	170	COL170	126.5426651	131.1545034	131.3673674	145.6333641	151.1162138	136.4945156	147.0726523	143.5988092	175.6403456	178.5599836	176.9766985	189.2512665	219.2785853	212.6886271	232.3435641	243.6536049	273.6782178	238.6969534	281.6211161	281.1323534	242.4153011	235.4395256	274.9231505	338.0719896	410.793548	409.5773572	369.5248476	352.1573216	378.6629776	364.1153404	383.0816128	227.6139352	209.9865222	241.9113361	266.9180188	382.9911	402.3543038	454.5283145	455.8246187	424.0991045	463.210156	531.6664635
Comoros	COM	174	COM174																										2.2178864	1.2210844	1.2721794	1.6254852	1.7669964	2.0870445	1.3703986	1.47037665	1.8612979	3.4636266	5.2527707	5.1979542	0.9708781	2.60705285	6.05232725	32.8025506	6.22760065
Cook Islands	COK	184	COK184				0																												0	0	0	0	0.0732456	0	0.04155465	0	0.02023865	0.0214107	0.01922965
Costa Rica	CRI	188	CRI188	9.6981081	10.89302788	13.1936556	14.2921733	15.35948645	16.59939135	18.09910155	20.5285663	25.23177965	26.70638005	28.0518031	21.0009359	16.85867265	18.92930235	22.0451	23.21302665	25.2564491	28.4537056	26.73775805	29.158824	30.05007375	34.28194685	34.6426814	42.90859095	47.2198221	43.0465834	41.6125744	43.6741207	55.3689856	58.72202245	43.74841935	52.34769385	54.2360456	53.3382902	65.74039965	72.0126675	61.83295205	107.338267	97.84766565	90.20497115	46.4009249	65.78323975
Cote d'Ivoire	CIV	384	CIV384	37.4681331	43.4925898	53.3857406	58.769247	60.008316	65.9179884	75.5804244	95.0869636	107.2429877	109.157924	109.5413188	99.3262136	84.4842728	53.46168	44.82896	48.37824	52.7814784	46.1397168	47.9239552	37.5371936	37.076932	36.6166704	36.6564088	35.6961472	35.2358856	59.775624	65.1825728	90.5098816	69.3529568	76.9523808	62.1351584	59.41448805	62.5996192	62.3855656	61.643887	56.72166655	47.44775575	52.26129915	55.2805693	53.56558115	58.20196085	48.9801744
Croatia	HRV	191	HRV191																							48.7383628	49.571224	52.5245486	63.6042016	80.0456152	92.406948	101.5536888	91.2401848	79.03419765	88.7458069	108.0708645	137.6163849	138.0154555	116.9414351	122.8594111	135.0349992	133.4052748	108.3016064	79.99152055	82.6997713
Cuba	CUB	192	CUB192	37.182	37.7275	37.7275	75	75	104.3635	125.318	133.091	135.8635	130.8635	141.8635	164.9545	158.5	161.909	167.682	164	165.591	177.1365	178.306	158.0891076	150	100	100	52.45	54.05	73.5	72.65	85.65	85.65	46.98927195	48.29204325	18.2272985	11.23942545	17.3528496	23.9504761	18.63567305	30.418332	90.25	85.35	81.3	86.5	86.8
